protein1,protein2,interaction
P51553,Q969X0,0
Q6PF05,P35240,0
Q9ULR3,Q86YL9,0
Q9NX01,P15374,0
P17787,P35240,0
P55081,Q7Z6J6,0
Q15800,Q15796,0
Q9NUY8,O14907,0
Q02742,P50991,0
P48729,P28676,0
P05062,Q8WW35,0
Q6UXL0,P23258,0
Q6PID8,P41587,0
Q9BPX6,Q99638,0
P39019,P63244,1
Q8WY22,P43378,0
P60201,Q5T2W1,0
Q96LB1,O15062,0
P32297,P51571,0
Q8NEF9,P01225,0
A8MTY0,Q9NQX0,0
Q7Z6G3,Q9UL45,0
O15247,Q14232,0
Q9Y5U8,P13929,0
Q8N5N7,Q96E29,1
O43929,A0A5C2GVU3,0
Q8NC24,Q70Z53,0
P19474,P35249,0
P01258,Q16602,1
A0AVF1,P49662,0
Q04900,O14863,0
P57081,P30049,0
Q9NP98,P0DN86,0
P55735,Q8NFJ9,0
Q01113,Q9UHQ4,0
Q9NPI6,Q9NQX0,0
O75586,P50613,1
P27482,Q96A72,0
Q06587,Q9BSM1,1
P07585,Q9NS91,0
Q92903,P53350,0
O95858,Q6PF05,0
Q92968,P01008,0
Q19AV6,P32121,0
P20062,P30740,0
O14958,Q6P1L8,0
O95747,Q8IW41,0
P10747,P22888,0
P20226,Q01658,1
P49257,P37198,0
P49247,P43358,0
Q7Z7K0,P17535,0
P57081,P20839,0
Q9BRT8,O95391,0
P16220,O95967,0
P0C862,Q9NVZ3,0
O75828,P12273,0
Q9H2H8,Q9UK55,0
Q8WW35,Q15038,0
Q5BVD1,P63167,0
Q9NPI1,Q9Y4X0,0
Q13352,Q7L2Z9,1
Q9NPF0,Q96IZ0,0
Q6IN84,Q8NHR7,0
Q8N0S2,Q86U44,0
Q96QS6,Q9HB90,0
P01854,P06734,1
P03973,P67812,0
Q9UNZ2,O95944,0
Q8N4P2,Q9P0T4,0
Q7Z3B1,Q7Z4V5,0
P10412,Q13155,0
P27037,P63267,0
P55809,P25311,0
O60896,Q9H4B4,0
P47872,O95967,0
P20645,O75449,0
P83369,Q8WVJ2,0
P41146,Q9UIM3,0
P32298,Q9Y228,0
Q9Y584,Q9HBH7,0
P08631,Q96NY9,0
P14406,P46736,0
Q99961,Q6Q0C0,0
Q14393,Q9BRD0,0
P45381,Q969E8,0
Q6ZMG9,Q93096,0
Q6RW13,Q8NI60,1
Q14393,P02679,0
O76021,Q13247,1
P40199,P28223,0
O00238,P12643,1
P01258,Q9UKV5,0
O95944,P46736,0
Q15121,Q7Z6G3,0
Q13613,Q13426,0
Q96IZ0,Q99519,0
P56159,O43281,0
Q8IY31,O95630,0
B7Z8K6,P56159,0
Q13554,Q8NFJ9,0
P01225,Q13352,0
A0A0K0K1A5,Q96IK5,0
P31391,Q9H9Q4,0
Q8NB37,Q9H467,0
Q8N0S2,P48145,0
Q96G23,Q86SG6,0
Q16552,P00973,0
P07205,O75083,0
Q92993,P31391,0
Q92630,P06865,0
Q9NS61,Q07837,0
P0DN86,Q16548,0
Q01959,P32298,0
P25311,Q9NZ43,0
P30926,Q9NS23,0
Q7L5N1,Q8WXC6,1
P12872,Q5JR12,0
O43920,Q7GXZ4,1
P49207,P62891,1
O14618,Q8N0X7,0
Q07837,S6BAN1,0
Q9BT92,P12277,0
