pair,D-SCRIPT,Topsy-Turvy,TT3D,TUnA,PLM-interact,PLMDA-PPI
P41005_Q09760,0.0033228,0.0033228,0.033969,0.02006685547530651,0.9090347290039062,0.0151386754587292
O13826_O43036,0.0032286,0.0032286,0.033577,0.03990884870290756,0.9990414977073668,0.0095216799527406
P10815_Q10113,0.0036484,0.0036484,0.034925,0.19721633195877075,0.9806219339370728,0.5554825663566589
Q09177_O74499,0.0033198,0.0033198,0.61976,0.15018270909786224,0.9985013008117676,0.0250396598130464
O94620_O94263,0.003223,0.003223,0.033619,0.7202398777008057,0.9988414645195008,0.050312865525484
O14329_O94616,0.022677,0.022677,0.033592,0.24634075164794922,0.0017336970195174,0.0030764271505177
O13672_O74433,0.0036974,0.0036974,0.033536,0.08286229521036148,0.9988559484481812,0.0045934449881315
O13936_O14399,0.00415,0.00415,0.035627,0.0638432651758194,0.0088220927864313,0.0046905851922929
P40848_P87324,0.0035418,0.0035418,0.033855,0.24299609661102295,0.9986392855644226,0.0958455204963684
O74533_P36582,0.0033097,0.0033097,0.033658,0.01655801385641098,0.0032016218174248,0.0047423471696674
P40984_O13712,0.010176,0.010176,0.033658,0.003477748017758131,0.0014960798434913,0.0026556523516774
O74184_O60129,0.0032245,0.0032245,0.041605,0.48337480425834656,0.0785191431641578,0.0165403261780738
O74555_P27584,0.0033116,0.0033116,0.033725,0.009108440950512886,0.0040348591282963,0.0020115307997912
O59800_O74772,0.0036634,0.0036634,0.11213,0.11180095374584198,0.0285030957311391,0.1393201053142547
P41887_Q10432,0.0032101,0.0032101,0.033806,0.23090040683746338,0.0068515157327055,0.0286882631480693
P40377_Q9P7E0,0.0035569,0.0035569,0.033606,0.18868783116340637,0.002037416677922,0.0014264670899137
O14198_Q10317,0.0035725,0.0035725,0.034343,0.34930574893951416,0.99905925989151,0.811057448387146
P0CU09_Q09808,0.0031398,0.0031398,0.033697,0.14872236549854279,0.99897962808609,0.4619891047477722
Q9USG6_P78789,0.0032821,0.0032821,0.033901,0.14543510973453522,0.0012860867427662,0.0178273431956768
P05733_Q9UT46,0.0048633,0.0048633,0.034312,0.14206719398498535,0.0066622947342693,0.0025750272907316
P87231_Q09170,0.004879,0.004879,0.034075,0.006723880767822266,0.9984526634216307,0.9848731756210328
P48011_Q9P7P1,0.0040626,0.0040626,0.033633,0.003166629234328866,0.032152134925127,0.0109693817794322
O74533_Q9HDY7,0.0036582,0.0036582,0.033675,0.09850655496120453,0.0106811793521046,0.0182965770363807
Q10173_Q9Y7R3,0.0031755,0.0031755,0.033623,0.11150363832712173,0.0037493547424674,0.0836875364184379
O60150_C6Y4D0,0.0032721,0.0032721,0.03427,0.1307435929775238,0.0297611560672521,0.0021846580784767
O94534_O43080,0.0032361,0.0032361,0.033511,0.032766006886959076,0.0063282917253673,0.0118035785853862
Q96WV9_O74791,0.0062537,0.0062537,0.034055,0.6454359292984009,0.9984304308891296,0.0188741851598024
