pair,D-SCRIPT,Topsy-Turvy,TT3D,TUnA,PLM-interact,PLMDA-PPI
O82197_Q9STX3,0.0031529,0.027518,0.033533,0.18239301443099976,0.0083170086145401,0.0250651091337203
Q9FLF3_Q9FME3,0.0058852,0.027738,0.041388,0.009242181666195393,0.0109888752922415,0.0018811309710144
Q9SU30_Q93VT9,0.003305,0.027586,0.033606,0.02143130451440811,0.0018438262632116,0.0035257143899798
Q9LDU5_Q9LSL1,0.0032592,0.02821,0.033692,0.06859856843948364,0.1206423193216323,0.9398963451385498
P04778_Q8W4D8,0.0034172,0.032343,0.033694,0.13338269293308258,0.0012819140683859,0.0013195994542911
Q38854_Q940U6,0.005072,0.087978,0.033637,0.05763290077447891,0.0013953815214335,0.1805142611265182
Q9SQK3_Q9M0J5,0.0033129,0.028426,0.034501,0.25124815106391907,0.0096692163497209,0.2385296821594238
Q8L6Y4_Q9LPZ1,0.0035276,0.027573,0.033645,0.0623166598379612,0.00624880194664,0.0606622584164142
Q8L746_Q9SEU8,0.0034406,0.028118,0.033509,0.055934857577085495,0.0037310787010937,0.0040073478594422
Q9C5H9_Q9XII1,0.0032779,0.027416,0.033635,0.02514144591987133,0.0015078131109476,0.0127556035295128
Q9FLV9_P42752,0.003472,0.027511,0.041195,0.22372566163539886,0.004381273407489,0.0176317058503627
O04492_Q96330,0.0094223,0.031791,0.043022,0.056123264133930206,0.0175623223185539,0.0213178656995296
P24100_Q8LF80,0.089719,0.43419,0.44982,0.007798251695930958,0.9989274144172668,0.9802713990211488
O81126_Q9C966,0.0034007,0.027599,0.033673,0.015401179902255535,0.0030997956637293,0.0022184690460562
Q940H6_Q9M7Q4,0.0035034,0.027781,0.033927,0.09244395792484283,0.98640114068985,0.0979280322790145
Q147Q9_Q9C9T3,0.0031249,0.027496,0.033659,0.4014446437358856,0.0069097643718123,0.0204682573676109
O80501_Q42545,0.0034082,0.032573,0.057417,0.004499613773077726,0.0010608389275148,0.0016356020933017
A9LNK9_P93313,0.0048119,0.028053,0.033464,0.03654888644814491,0.0031868536025285,0.0077797593548893
P35632_O80800,0.0032444,0.027707,0.036892,0.010439149104058743,0.0105759855359792,0.0086270160973072
A0A178UTW7_P53665,0.0059354,0.027745,0.033797,0.287449449300766,0.0015419562114402,0.0024993845727294
Q7XYY2_Q84Y95,0.0032236,0.028175,0.033481,0.1938977688550949,0.0259846802800893,0.0191317182034254
Q9M9S4_Q8GY61,0.0037306,0.028518,0.03363,0.14149531722068787,0.0016761833103373,0.0079630305990576
Q7XJ98_Q9S7U9,0.0038927,0.027483,0.033586,0.8545687198638916,0.0020277288276702,0.000778041081503
Q9SMN1_Q9SRR8,0.0044705,0.052233,0.033601,0.09479842334985733,0.9989011287689208,0.9815795421600342
Q8GUU3_P29381,0.0032663,0.027513,0.03365,0.005992221180349588,0.001930390484631,0.0490932241082191
Q9C9E3_Q9SYG4,0.0042586,0.027522,0.033942,0.01730409264564514,0.9985287189483644,0.0377795584499836
Q39008_Q9LSL1,0.0033372,0.028177,0.03421,0.00859162863343954,0.1065084710717201,0.8740082383155823
Q9SKE2_P49677,0.003234,0.02748,0.033837,0.013238074257969856,0.0019583762623369,0.0049538793973624
Q9XFH9_Q0WPY0,0.0031718,0.028458,0.033665,0.02788383513689041,0.0033852709457278,0.0194575879722833
Q9STX3_Q6ID77,0.0037435,0.028601,0.033809,0.15433670580387115,0.0131131596863269,0.0361196547746658
A0A178V0F6_Q9M9S4,0.013891,0.055393,0.18214,0.01976276934146881,0.05272126942873,0.981473743915558
P56780_Q9FFY6,0.0037128,0.030281,0.033737,0.006872748490422964,0.0013975610490888,0.0158332083374261
Q8RWZ1_Q8VY16,0.0078205,0.027784,0.043058,0.014852195978164673,0.0018545744242146,0.0155004747211933
Q8LBP6_Q9FFY6,0.0033571,0.027419,0.033548,0.026515258476138115,0.0021093054674565,0.0148841636255383
Q9FLP9_Q56XM1,0.0037187,0.027429,0.033768,0.27197974920272827,0.0016449176473543,0.0127219893038272
P51102_Q9FYF8,0.010034,0.027587,0.033889,0.4257815182209015,0.0036418372765183,0.00550277531147
O50055_Q42384,0.0037249,0.030592,0.036448,0.1135917380452156,0.0284942314028739,0.0831778720021247
Q38824_Q38831,0.0034302,0.027989,0.034396,0.5766957402229309,0.99909245967865,0.9843885898590088
Q8VZ65_Q9LZI6,0.0054722,0.028253,0.0377,0.026652419939637184,0.9964849948883056,0.5850098133087158
Q8L3X8_Q8VYA5,0.018087,0.033767,0.10489,0.002981065306812525,0.9990326166152954,0.9794238805770874
Q8S9I4_Q9SB04,0.0036045,0.027568,0.033821,0.1747806817293167,0.0022311636712402,0.0071589853614568
Q38885_Q93ZM9,0.0033749,0.034264,0.033546,0.0060479892417788506,0.0013704833108931,0.0015024608001112
P93002_Q147Q9,0.0033046,0.027947,0.033662,0.026965320110321045,0.0024085703771561,0.0328244939446449
Q9SWG3_Q9SYZ9,0.0032899,0.027417,0.034327,0.030358023941516876,0.1105623841285705,0.3591212928295135
Q9SKE2_Q96299,0.019743,0.027719,0.033556,0.09146881103515625,0.0020685407798737,0.0166245251893997
Q39096_Q9ZUP3,0.014116,0.027444,0.034451,0.05032891035079956,0.0054797553457319,0.1185803338885307
Q9S752_Q9LKR3,0.0034191,0.028614,0.035324,0.2105376422405243,0.0127479908987879,0.0796504318714141
