pair,D-SCRIPT,Topsy-Turvy,TT3D,TUnA,PLM-interact,PLMDA-PPI
Q9VQM2_Q960Q9,0.0032709,0.027595,0.033574,0.36878249049186707,0.000883113592863,0.0003325665311422
Q9V4E0_Q9W402,0.008498,0.030068,0.033806,0.41889238357543945,0.0146879674866795,0.9031442403793336
Q9W2S2_Q9VX37,0.008756,0.027481,0.034738,0.7868412137031555,0.0667146369814872,0.3008395731449127
Q9VTC2_Q9V3V9,0.0031598,0.027489,0.033546,0.27887994050979614,0.1325498670339584,0.0044449092820286
Q7JYH3_O46308,0.0034108,0.030647,0.033434,0.02625625766813755,0.0021707077976316,0.0004659518017433
Q9VQK1_P02572,0.0035915,0.027638,0.033989,0.003594256704673171,0.0415395200252532,0.0215248167514801
Q9VEX9_Q7K738,0.0041471,0.032281,0.046673,0.4301949143409729,0.9973562955856324,0.0951767861843109
Q7JYH3_Q24560,0.0033285,0.029998,0.033511,0.3372889757156372,0.0045884437859058,0.0085727544501423
Q9VF73_X2J6Q6,0.0032613,0.027523,0.033559,0.590752124786377,0.0037043530028313,0.0011496142251417
P92208_P48607,0.0043643,0.027525,0.033746,0.21849915385246277,0.0006924060289748,0.0056160544045269
P48149_Q0E9B6,0.69982,0.19358,0.28998,0.10709501057863235,0.998990833759308,0.974961280822754
A8JUS8_P40792,0.0031409,0.027518,0.033455,0.39535725116729736,0.0057667195796966,0.0069198627024888
Q9VT51_P02299,0.0035243,0.027552,0.033703,0.04827806353569031,0.0005737484316341,0.0043735988438129
Q9VXX0_Q9VPD2,0.0047269,0.032071,0.06166,0.09657324850559235,0.0042488253675401,0.0028254662174731
Q08605_Q7K304,0.0064061,0.028124,0.78796,0.2105894237756729,0.007136708125472,0.4026226699352264
Q9VYW3_P09774,0.0031401,0.027859,0.033523,0.27679431438446045,0.0041478546336293,0.0012843932490795
E1JJI1_A8JR10,0.0032994,0.027451,0.034616,0.025907060131430626,0.0017837018240243,0.0035986516159027
Q9VUW2_Q9V457,0.0033546,0.027683,0.033768,0.23621800541877747,0.0008200688753277,0.0027426588349044
A8JR10_Q9VVA7,0.0032756,0.027462,0.033706,0.8741108775138855,0.0059335101395845,0.0411230660974979
Q86B79_O61602,0.0041056,0.029295,0.033692,0.09503532201051712,0.0137276640161871,0.396820604801178
Q59DX6_P06602,0.0032093,0.028614,0.033696,0.30914220213890076,0.0010642010020092,0.0019765659235417
