pair,D-SCRIPT,Topsy-Turvy,TT3D,TUnA,PLM-interact,PLMDA-PPI
Q8R2L5_Q9Z307,0.0064918,0.027444,0.033813,0.611470639705658,0.0008826063713058,0.0029064710251986
P29341_P63001,0.0033349,0.027665,0.035054,0.08237587660551071,0.0023212435189634,0.1571153849363327
P62858_Q9D4K5,0.0031989,0.027549,0.033665,0.017965326085686684,0.0061531960964202,0.0184725299477577
Q99J83_Q61666,0.0031691,0.027452,0.03352,0.04887612909078598,0.012133159674704,0.1376152485609054
Q60925_Q9WTM5,0.0037068,0.027909,0.03359,0.005679551046341658,0.0011448370059952,0.026086326688528
O55234_Q9D4K7,0.0047322,0.027889,0.033624,0.12070092558860779,0.0046687861904501,0.0120547488331794
Q6P3B9_P48772,0.0041229,0.031853,0.033627,0.35642555356025696,0.0238754078745841,0.0034567676484584
Q9CY16_Q7TMF3,0.016671,0.028421,0.035618,0.01881430856883526,0.3372274041175842,0.02366479113698
P49817_P97351,0.0035161,0.028007,0.033612,0.09463079273700714,0.0029675867408514,0.0818119794130325
P62751_P31311,0.0047938,0.027884,0.033925,0.0057655684649944305,0.0030865168664604,0.3222542405128479
Q9EPU5_Q920N1,0.0058071,0.027387,0.033602,0.019428780302405357,0.0018683661473914,0.0036448386963456
Q8VEK3_P27512,0.0051929,0.027433,0.033552,0.4796469509601593,0.0020004583057016,0.0036128347273916
P23611_O54828,0.0032311,0.027525,0.033954,0.02725723385810852,0.0033364992123097,0.0115297473967075
P03925_Q9D4K7,0.003923,0.028154,0.033495,0.004585202317684889,0.0010003199568018,0.0032318963203579
P06537_P27467,0.0036438,0.027562,0.033714,0.006226294673979282,0.0016622570110484,0.0005511849885806
P31938_Q60825,0.0036853,0.027591,0.033539,0.020465265959501266,0.0006381584680639,0.0036083643790334
Q9CQZ5_P01942,0.17772,0.11721,0.033818,0.09353175759315491,0.0062218969687819,0.1178358271718025
A0A5E3_A0A0M3KL48,0.70198,0.81783,0.76681,0.024241933599114418,0.0134515408426523,0.0733992531895637
Q00322_O08603,0.0038288,0.029057,0.033655,0.5609632730484009,0.0013876699376851,0.0021910686045885
Q9CQP8_O88509,0.0034297,0.027591,0.034988,0.054108988493680954,0.0015564420027658,0.0090755419805645
Q61699_Q80WQ6,0.0032824,0.027549,0.03386,0.4792470335960388,0.0046891029924154,0.0057820910587906
P49718_P53566,0.0064547,0.028468,0.035205,0.2275913953781128,0.0028210282325744,0.3240403234958648
P14206_Q9R1P3,0.0034232,0.028934,0.035195,0.2369319051504135,0.0008804893004707,0.0150801129639148
Q80ZV0_Q60765,0.0032253,0.028031,0.0336,0.04918542876839638,0.0016955932369455,0.1064315289258956
Q9JIH2_Q3U1F9,0.0034519,0.027498,0.033671,0.015763595700263977,0.0006068077636882,0.0550502426922321
P14432_Q9D125,0.0040912,0.028728,0.033493,0.1373634934425354,0.0027803115081042,0.0014482359401881
P48346_P06804,0.0033197,0.027605,0.033937,0.6639038324356079,0.0031914529390633,0.07612045109272
Q9WTL8_Q9QUN3,0.0035483,0.028827,0.0338,0.39594566822052,0.0026420436333864,0.3373313546180725
Q9EQ14_P62878,0.0032464,0.027502,0.033477,0.06890766322612762,0.0013000637991353,0.0072743585333228
P29341_P05627,0.0045414,0.028425,0.055806,0.16252627968788147,0.0439512617886066,0.9245882630348206
P68372_Q9D0B8,0.0036834,0.02949,0.041452,0.3087497651576996,0.99860280752182,0.847004771232605
Q9Z0H7_Q60749,0.0039248,0.027557,0.033657,0.10207290947437286,0.0039676069281995,0.0199337340891361
G5E8A8_P54841,0.51954,0.28709,0.035293,0.5506245493888855,0.0048437658697366,0.0961217060685157
P54763_Q9WTM5,0.0051662,0.027652,0.033464,0.0637504905462265,0.0009634822490625,0.0020332490094006
P19536_P19783,0.29593,0.59099,0.07806,0.0023965653963387012,0.9988924860954284,0.6521070003509521
P83882_P62812,0.0045679,0.027599,0.03363,0.002919960068538785,0.0006578924367204,0.0015083508333191
P01108_Q5SSZ7,0.0033572,0.028298,0.033769,0.041508156806230545,0.0012342040427029,0.3985826075077057
P58771_P70343,0.026476,0.027549,0.033457,0.8968625068664551,0.0069581591524183,0.0198771730065345
P97792_Q922Y1,0.0051829,0.027516,0.03362,0.004284540191292763,0.0013888360699638,0.0071168248541653
Q8BGU5_Q61079,0.0044545,0.027728,0.033884,0.4479863941669464,0.0012997462181374,0.0534364134073257
P58771_P09631,0.56455,0.02773,0.033655,0.003815233241766691,0.0047998111695051,0.0824588909745216
O70174_Q9D032,0.003392,0.027467,0.033466,0.01017045509070158,0.0019664771389216,0.0521468073129653
P30051_Q8R4I7,0.037071,0.027497,0.033795,0.3682171404361725,0.0004497259506024,0.0152012165635824
P04224_Q9JIY5,0.0078678,0.028406,0.078025,0.5705068111419678,0.0017701783217489,0.0078687136992812
Q61423_O88509,0.0033874,0.028345,0.034673,0.017892148345708847,0.0014904183335602,0.0107217356562614
P97333_Q9D8E6,0.00364,0.027458,0.033476,0.002984968014061451,0.0022434273269027,0.0076255789026618
P36898_Q9CPU2,0.027286,0.027671,0.037689,0.18724705278873444,0.0012609030818566,0.0042759338393807
O88566_Q99NC0,0.0033155,0.028027,0.035317,0.4658350348472595,0.0035865576937794,0.0177733786404132
P22315_P28574,0.0033555,0.028384,0.03361,0.07304037362337112,0.0017878813669085,0.0041617341339588
Q99JY8_P61967,0.0032405,0.027565,0.033477,0.034409087151288986,0.0011706504737958,0.0031171238515526
Q60825_Q99MJ6,0.0034926,0.027493,0.03379,0.08763822913169861,0.0008148417109623,0.0125483116135001
