pair,score
2ES4(3):B_1OFH(1):G,0.0005164019530639
2YC4(1):B_6HPB(1):A,0.0012670337455347
6X0A(15):O_2HZS(5):H,0.0008556144312024
7VD7(1):A_7VD7(1):B,0.00221553677693
1TY4(1):B_1TY4(1):D,0.9768348336219788
5WRV(1):A_6B12(2):B,0.0009703299729153
6U3W(1):B_2PTT(1):A,0.0013384292833507
3A5Z(1):C_3A5Z(1):D,0.5587478876113892
7MWR(1):A_7MWR(1):B,0.936964213848114
3GQI(1):B_2Y3N(1):C,0.0008552680374123
6KPD(1):B_6RCX(1):B,0.000306074070977
6TUN(2):B_7MWR(1):B,0.0063500078395009
3AMJ(1):B_3AMJ(1):A,0.9619023203849792
5CFF(1):A_4CC4(3):E,0.0011392566375434
3M6M(1):E_3AV0(1):A,0.0005708179087378
6TPI(1):C_6U08(2):C,0.1721319407224655
3LKX(1):A_6YJP(1):C,0.0005431330646388
5OW5(1):B_2J9U(1):A,0.088700994849205
6XZ6(1):A_5CTR(1):C,0.0616114996373653
5YXY(1):D_3F1I(1):S,0.0006152146961539
2IYB(2):B_2IYB(2):F,0.0041687875054776
6LBU(1):A_5Y9W(1):B,0.0004916349425911
2J9U(1):B_4CYJ(2):F,0.0061457064002752
3EXE(2):E_3EXE(2):H,0.0346006341278553
5HY3(1):A_2Y3N(1):D,0.0123707223683595
6IB8(1):A_6B12(2):D,0.0020845106337219
3TND(1):A_1N2D(1):A,0.0007364604389294
6AKM(1):B_4Y66(2):D,0.0100106969475746
4ZK7(1):W_2BUY(1):A,0.0006402132567018
6R3S(1):B_5IBW(1):C,0.012530704960227
3TND(1):A_3TND(1):B,0.8853466510772705
5MPO(1):B_7V5Z(1):B,0.0014328832039609
6COJ(1):B_5ZB2(1):B,0.0004694481613114
4DGW(1):A_4BFI(1):B,0.0004841025511268
6LBT(1):C_3M6M(1):B,0.0021127518266439
5MU7(1):A_5NUP(1):A,0.0011115728411823
7ENH(1):A_3PUF(3):I,0.0075974194332957
6DRH(4):H_2QAG(1):B,0.0606853738427162
5YK7(1):D_6HUL(1):A,0.0004788376099895
1Z6O(1):C_6GND(2):C,0.0039958101697266
6WEG(1):A_5CTR(1):A,0.0012619349872693
7P99(1):A_4FXE(1):E,0.0014655467821285
6OK1(1):B_2FOI(1):B,0.000743452750612
3R84(19):U_3R84(19):V,0.9741092324256896
4BFI(1):A_2XQN(1):T,0.0047610234469175
3PUF(3):G_3PUF(3):H,0.0433009788393974
6RCX(1):A_6D0H(1):B,0.0464330501854419
3OEI(1):D_2VUS(2):J,0.0008205014746636
1N2D(1):C_6U08(2):D,0.0008852716418914
6NKL(1):C_4NWR(4):AS,0.1991233378648758
2ZQK(2):B_1SV0(2):D,0.0005333498120307
1R6O(3):D_6X0A(15):O,0.0035588650498539
2Y9X(2):F_4NWO(1):A,0.0006975429714657
1GKA(1):B_3LBX(1):B,0.000839871529024
6LBU(1):B_4C4K(1):O,0.0020706611685454
6M2I(1):A_2ES4(3):E,0.0037722387351095
6WEG(1):C_5JNO(1):B,0.0018125183414667
6JCK(1):A_6POL(2):C,0.0606814250349998
4C4K(1):T_3OEI(1):B,0.0008664687047712
2VUS(2):B_5CFF(1):F,0.001989047974348
7BY3(1):C_4V02(1):C,0.0479094050824642
6B12(2):B_5ZB2(1):B,0.0025684116408228
2QAG(1):A_3M6M(1):B,0.0015663674566894
2PTT(1):B_7UM4(1):A,0.0059035052545368
2XQN(1):A_2XTS(1):D,0.0007064294768497
5YXY(1):D_3LBX(1):A,0.0004153084591962
4QX8(2):C_5NUP(1):A,0.0022427344229072
5E3E(1):A_2CG5(1):A,0.0145489601418375
4CXF(1):A_5JW9(1):A,0.0014319685287773
4NWO(1):B_6IB8(1):A,0.0032281118910759
6BZF(2):D_4TMA(2):J,0.0011018195655196
7LA5(1):A_3WXX(4):G,0.0007641976117156
2XQN(1):T_6XOD(1):B,0.0037483272608369
6X0A(15):O_6X0A(15):o,0.980726420879364
7BY3(1):C_6LBU(1):B,0.0121952127665281
4C4K(1):O_2R6A(1):C,0.0042786430567502
5YK7(1):C_5YK7(1):D,0.984715461730957
1H3O(2):C_5J1L(1):A,0.0006841517752036
2XZ0(2):B_4QX8(2):C,0.0109558822587132
6WEG(1):C_6WEG(1):A,0.9452948570251464
3X37(1):A_3X37(1):B,0.821394681930542
1TY4(1):B_6PNQ(1):B,0.0101343430578708
1GKA(1):A_3IEY(1):B,0.0017546428134664
1R6O(3):D_6U08(2):C,0.0081592071801424
7EXZ(2):A_2IYB(2):B,0.0006949449307285
1XG2(1):B_7ETR(1):A,0.0008541546412743
3A0R(1):B_5CK3(1):A,0.0008465208811685
3FGC(2):D_4NL9(2):B,0.0006516329594887
4ZIR(1):A_4ZIR(1):B,0.984772264957428
4BFI(1):A_4BFI(1):B,0.5377775430679321
7BY3(1):D_2Y0N(1):E,0.0035046539269387
3LKX(1):A_5YXY(1):D,0.0006280976231209
4X33(1):A_6WEG(1):C,0.0469760932028293
7RAG(1):B_1RP3(4):H,0.3996513783931732
5IBW(1):A_5IBW(1):C,0.0045598004944622
6F4J(2):B_2VUS(2):B,0.0013144442345947
6ZT0(1):AAAA_4C4K(1):O,0.0009876310359686
5WRV(1):B_2VUS(2):B,0.0016659159446135
6F4J(2):B_2R6A(1):B,0.0017629853682592
1OFH(1):G_3WXX(4):G,0.0073018791154026
2VUS(2):B_2PMS(2):D,0.0061200456693768
2IYB(2):F_7VKB(1):B,0.0024828352034091
1QDL(1):B_3HUG(6):J,0.000877825776115
5YXY(1):D_7ENH(1):A,0.0013084661914035
5OF3(1):D_7P99(1):C,0.0012541100149974
5XKJ(1):C_5XKJ(1):E,0.0723940730094909
6R3S(1):A_4NL9(2):B,0.0445814467966556
4QX8(2):D_3AMJ(1):B,0.0030672871507704
2XTS(1):D_5HY3(1):B,0.0005565191968344
7C96(1):B_5CK3(1):B,0.0018145993817597
1XG2(1):B_3NQZ(1):B,0.2768277823925018
3AV0(1):A_4WWR(3):C,0.0009716464555822
3V6I(1):A_3V6I(1):B,0.964181423187256
6KPD(1):B_2XZ0(2):D,0.0018393725622445
7DMA(1):B_2ZP9(1):G,0.1352235078811645
7ENH(1):B_2BUY(1):A,0.0017121148994192
3MB2(2):I_4TMA(2):J,0.0165921114385128
1T3E(1):B_3A5Z(1):C,0.0097727766260504
6YJP(1):A_4QMF(2):B,0.0004917115438729
3MB2(2):I_5XE3(1):A,0.0249401144683361
6GND(2):D_4FXE(1):E,0.0063905641436576
6KM7(1):A_7FAD(2):C,0.0144028849899768
4V02(1):C_5OW5(1):B,0.0042636827565729
3A0R(1):B_6VW9(1):B,0.0041684289462864
6IB8(1):A_6HPB(1):B,0.0050549618899822
1T3E(1):B_5OF3(1):E,0.0066181789152324
6KM7(1):A_5MW9(2):F,0.016984649002552
1GKA(1):B_4WWR(3):D,0.0003123596252407
3AV0(1):B_7P99(1):C,0.0008879449451342
5ERG(1):A_3EXE(2):H,0.0019636144861578
6D0H(1):A_6NXF(1):B,0.0007010444533079
6TPI(1):A_2BUY(1):A,0.0017188681522384
7P99(1):C_6XOD(1):A,0.2729416489601135
3AMJ(1):B_5ERG(1):A,0.0004801058967132
2PT7(1):H_1H3O(2):C,0.0031532535795122
5NT7(1):D_4C4K(1):O,0.010647683404386
5E3E(1):A_6XF1(2):D,0.0013418146409094
3EXE(2):E_6CP9(4):G,0.0237863212823867
6F45(1):D_3X37(1):B,0.0009253693860955
5ERG(1):B_4QMF(2):B,0.8344449996948242
7BY3(1):C_2PT7(1):H,0.0034417817369103
6GW6(1):A_3Q4H(2):A,0.0287212133407592
3OEI(1):D_3TVT(1):B,0.0008029710734263
6BSC(1):B_6TI2(1):B,0.001770781702362
6XF1(2):D_4ZK7(1):W,0.0007078007911331
7C96(1):A_6CP9(4):G,0.0086162565276026
6LBU(1):A_5XKJ(1):C,0.0007036048918962
3F1I(1):S_2XZ0(2):D,0.004349956754595
1TY4(1):B_4XA9(8):H,0.0138442600145936
5IBW(1):A_6XRW(1):B,0.0004092304734513
1XG2(1):A_3CDK(1):D,0.0005621354794129
6XF1(2):C_6XF1(2):D,0.0048932959325611
5MU7(1):B_6Y4L(1):A,0.1485782712697982
6WEG(1):C_2ZQK(2):B,0.0004977635690011
4ZQU(1):A_4ZQU(1):B,0.7727158665657043
5NUS(1):B_6L5K(1):B,0.0151228504255414
3IEY(1):B_2ZP9(1):J,0.0009674213360995
3M7F(1):A_3EXE(2):E,0.0026617213152348
7MWR(1):B_1N2D(1):A,0.0010868773097172
4KBQ(1):C_6WEG(1):A,0.0015667224070057
6NXF(1):B_6PNQ(1):A,0.0040206257253885
5YK7(1):D_4X33(1):A,0.001180462539196
3LBX(1):B_6U08(2):D,0.0011604385217651
5JNO(1):A_4ZK7(1):E,0.0041028056293725
2QAG(1):A_6IB8(1):A,0.0004410733527038
1XG2(1):B_7DG5(1):B,0.0013707600301131
5AUP(1):A_5AUP(1):I,0.8633213639259338
1QDL(1):A_4Y66(2):D,0.0008176456321962
6PNQ(1):A_6PNQ(1):B,0.028361078351736
1H3O(2):C_1H3O(2):D,0.3705434799194336
6XAW(1):A_6XAW(1):B,0.0429497808218002
6LBT(1):A_6LBT(1):C,0.7887139916419983
6BZF(2):D_6RCX(1):A,0.0006723005790263
6KPD(1):B_5ERG(1):A,0.0139289051294326
7KBJ(2):J_3NQZ(1):B,0.0022171090822666
6DRH(4):G_6YJP(1):A,0.0163959637284278
6JCK(1):B_5NUP(1):D,0.0016868349630385
1G73(2):B_6XF1(2):D,0.0025364959146827
7LA5(1):A_5MW9(2):G,0.0006694184266962
3R84(19):U_2ES4(3):B,0.0003626979305408
6R3S(1):A_5YK7(1):D,0.0313679687678813
3AMJ(1):A_5YK7(1):D,0.0006437954725697
7LA5(1):B_4NWO(1):B,0.0015814894577488
5CTR(1):C_6BSC(1):B,0.0010550557635724
1TY4(1):D_3R84(19):V,0.0185519345104694
6YJP(1):A_1RP3(4):H,0.0004808185622096
6U3W(1):A_3A0R(1):A,0.001448689145036
5XE3(1):A_6PNQ(1):B,0.0033504681196063
6LBU(1):A_4CXF(1):A,0.0004234380903653
4UDM(1):A_4UDM(1):B,0.95918071269989
5B64(1):A_3H0W(1):B,0.0026972561608999
6B12(2):B_5UIW(1):A,0.000880264386069
3A5Z(1):C_6XZ6(1):B,0.0005460013635456
7UM4(1):B_7DG5(1):A,0.0015199641929939
5MW9(2):F_6F45(1):A,0.0004001568886451
5AUP(1):I_5XE3(1):E,0.0005348432459868
7VKB(1):A_4BFI(1):A,0.0004965397529304
1H3O(2):D_3WXX(4):H,0.0028024325147271
6PNQ(1):A_3R84(19):U,0.0027878959663212
6KPD(1):C_7P99(1):A,0.0235366318374872
7ENH(1):A_7ENH(1):B,0.955935537815094
6CP9(4):G_2FOI(1):B,0.0084688989445567
6GW6(1):A_6GW6(1):B,0.8749906420707703
2BUY(1):A_5WB5(1):A,0.0003149062395095
3OEI(1):D_6RCX(1):A,0.0046782395802438
1Q7L(3):B_2PMS(2):D,0.0053982217796146
3AMJ(1):A_6WEG(1):A,0.0003123929491266
2Y0N(1):E_3AMJ(1):B,0.007718636188656
3FGC(2):C_7UM4(1):B,0.0003643564123194
3EXE(2):E_6HUL(1):B,0.000820368528366
6VW9(1):B_6GW6(1):A,0.0006061291787773
2CZV(1):B_6D0H(1):A,0.0003902800381183
1T3E(1):P_4NWR(4):AT,0.000703610247001
1OFH(1):A_1OFH(1):G,0.0454440861940383
5UIW(1):B_4DGW(1):A,0.000690079992637
3TND(1):B_1TY4(1):B,0.0010570784797891
1TFO(1):B_1T3E(1):B,0.0170064847916364
7DG5(1):B_3EXE(2):H,0.0012874795356765
1TQY(4):G_4CYJ(2):F,0.0010323588503524
5MPO(1):B_6X0A(15):O,0.0004435895534697
4BY6(2):C_6CP9(4):G,0.0144929904490709
2IDO(2):C_6ZT0(1):A,0.0011381382355466
6TI2(1):E_5Y9W(1):B,0.1653713583946228
5JW9(1):B_5OW5(1):A,0.0188321657478809
4C4K(1):T_7MWR(1):B,0.00460862275213
4QX8(2):D_2ZP9(1):J,0.8525834083557129
6GJE(1):A_1G73(2):D,0.0009981618495658
4Y66(2):D_5JNO(1):B,0.113196812570095
