protein1,protein2,interaction
O82197,Q9STX3,0
Q9FLF3,Q9FME3,0
Q9SU30,Q93VT9,0
Q9LDU5,Q9LSL1,0
P04778,Q8W4D8,0
Q38854,Q940U6,0
Q9SQK3,Q9M0J5,0
Q8L6Y4,Q9LPZ1,0
Q8L746,Q9SEU8,0
Q9C5H9,Q9XII1,0
Q9FLV9,P42752,0
O04492,Q96330,0
P24100,Q8LF80,1
O81126,Q9C966,0
Q940H6,Q9M7Q4,1
Q147Q9,Q9C9T3,0
O80501,Q42545,0
A9LNK9,P93313,0
P35632,O80800,0
A0A178UTW7,P53665,0
Q7XYY2,Q84Y95,0
Q9M9S4,Q8GY61,0
Q7XJ98,Q9S7U9,0
Q9SMN1,Q9SRR8,1
Q8GUU3,P29381,0
Q9C9E3,Q9SYG4,0
Q39008,Q9LSL1,0
Q9SKE2,P49677,0
Q9XFH9,Q0WPY0,0
Q9STX3,Q6ID77,0
A0A178V0F6,Q9M9S4,1
P56780,Q9FFY6,0
Q8RWZ1,Q8VY16,0
Q8LBP6,Q9FFY6,0
Q9FLP9,Q56XM1,0
P51102,Q9FYF8,0
O50055,Q42384,0
Q38824,Q38831,1
Q8VZ65,Q9LZI6,1
Q8L3X8,Q8VYA5,1
Q8S9I4,Q9SB04,0
Q38885,Q93ZM9,0
P93002,Q147Q9,1
Q9SWG3,Q9SYZ9,0
Q9SKE2,Q96299,0
Q39096,Q9ZUP3,0
Q9S752,Q9LKR3,0
Q9SEL5,Q39022,0
Q9SZI2,Q9FY89,0
Q39255,Q84JU4,1
Q8RWL4,Q9FFY6,0
Q39163,P56753,0
Q9SRH6,O04017,0
P49677,Q9FGV1,1
O22827,Q38882,0
Q9SIW2,Q9SZJ5,0
Q9SKT0,Q9SR08,0
C6KIE6,Q9ZWS7,0
Q9SKX1,Q84JQ4,0
Q9SVD7,Q94AH6,0
Q8RYD9,Q56Y52,0
O04479,Q949Q5,0
Q9S7A3,Q7XJL1,0
Q93YP0,Q8L5U0,0
Q9ZR12,O80842,0
Q4PSU4,C0SVM5,0
P33078,Q9C966,1
A0A178UUW8,Q9FV71,0
P42792,Q39162,0
F4IXJ7,Q39255,0
P43291,Q708Y0,1
Q05753,Q6F6B5,0
Q94AG2,Q8GUP1,0
O04027,Q9SV69,0
B4F7R9,O49545,0
P48731,P56782,0
O80920,Q9M9M6,0
Q9FJA2,Q38859,0
Q9SPK4,Q9SXZ2,0
O22265,Q8LBP4,1
P42731,Q93Y00,0
O49839,O49686,0
O81223,O23212,0
Q8W234,Q9FUY2,1
Q9SIW1,Q38834,0
O04197,Q8W4J8,1
Q9S9U2,Q95747,0
Q9FLX7,Q93ZH2,0
Q94B60,Q9ZTW3,0
P93311,Q8L5U0,0
Q39183,Q8GXW6,0
Q9FHA7,F4JCV6,0
Q8VZS6,Q9SCY3,0
Q9SIU2,Q9C758,0
O81055,Q9LIR8,1
O04173,Q94ID6,0
Q42403,O24408,0
Q8VYA5,Q8VZ65,0
O22769,Q9SUT5,0
Q9FXG8,A0A178UTW7,0
P93313,Q9FWR5,1
Q8LAJ7,Q8GUN5,0
O49545,Q8LGA5,0
Q05431,O82794,0
Q9ZPY5,Q8LEU3,0
Q8LCQ4,Q9SY97,1
Q94A79,Q9SEE9,0
Q9ZSA2,Q570C0,0
Q9SJN0,Q8GUI6,0
Q9SI38,Q93Z17,0
O81242,P43292,0
Q9C9U2,B5TM92,0
Q9ZU52,Q8GV05,0
O82804,Q9M1Y1,0
Q9LT47,Q9SK53,0
Q39025,Q9SEE9,0
Q9FHW7,Q38937,0
Q9CAA4,Q9LEZ3,1
Q9XF57,Q58G47,0
Q9FG37,P10796,0
P92948,Q2V3N5,0
O22932,Q8GUI6,0
O49839,Q8GYQ5,0
P49597,Q9LV27,0
Q9C758,Q8L3X8,0
P92964,Q9XFB1,0
O82238,P35631,0
Q9SQT5,O81126,0
Q9ZST4,Q9SQT5,0
P93654,Q9M8Y4,0
Q9FYE6,Q8LDK5,0
Q84JS6,Q8L6Z4,0
Q84LG2,Q9SG79,0
F4J9E4,Q94IB8,0
Q944L3,P31170,0
Q9SCL7,Q9ZST4,1
C0LGU5,Q39255,0
P56778,Q9XF89,1
O04294,Q9SAR0,0
P60497,Q9XGN1,0
P42797,P54609,0
Q9C9A5,P93003,0
Q38828,Q9XED8,1
Q9SR19,Q9LV35,0
Q93ZH2,Q9M9M9,0
P56761,P60129,1
O64722,B9DHH7,0
Q6NKX3,Q38841,0
O22315,Q9C9Z5,0
Q8W5S1,P93024,0
Q9ZPH2,P56790,0
Q9FHW7,Q9XI00,1
Q9SCP9,P55034,0
O82533,Q9FKW6,0
Q9SKK0,O65448,0
O81445,Q9LEU7,1
Q9LSL1,Q949Q5,0
Q93WC4,Q8RWA2,0
Q8GWD7,Q6NKX5,0
Q9C5S9,Q9C6B8,0
Q9FHW7,Q9FLX3,1
Q9CA75,Q39027,0
Q38832,Q9FIG9,0
O04567,Q9XF89,0
A0A1P8BCD1,P0DKJ7,0
Q8L3Z8,F4J8B6,0
Q9LSF1,P92958,0
Q9SJM4,Q6NQ79,0
Q941L3,Q9S851,0
Q9SV69,Q01593,0
Q9SAZ5,Q9ZWS7,1
Q9FYE6,P48349,0
P29388,Q8W595,0
Q8VZ79,Q84JQ4,0
Q9FLP9,A0A384L363,0
Q9LQQ9,F4I0K2,0
Q9LXJ2,Q9FKM7,0
O24409,Q38829,1
Q39255,Q9SKK0,1
O24408,Q38822,1
Q9C8Z9,A0A384KNJ4,0
Q8LDK5,Q9FGV1,0
O24629,O64816,1
F4IVV0,Q93V43,0
Q9LEU7,Q9FGX2,0
Q94JS0,Q9LXJ2,1
O23144,Q946Y7,0
O24629,Q9XF89,0
Q39016,O81127,0
P56754,O65683,0
Q8S8A0,Q9FH37,0
Q9LSX9,Q3E991,0
Q9C8Y3,Q9LVQ7,1
Q9LEX0,Q9ZPX2,0
Q8VZ65,O65554,0
Q8LAL2,Q8LAA7,0
F4I0K2,Q9XFH4,0
Q9FGY4,Q9SY65,1
A0A178UTW7,Q94CL9,0
Q9LV40,P29385,0
Q9LUJ9,Q94K14,0
Q9LMK7,P48007,0
Q01667,Q9FKB5,0
Q944Q0,O22827,0
Q9FFF1,Q9ZVD0,0
Q944Q0,Q94AG2,0
Q8W4P1,Q9C639,0
P15455,Q9LVG4,0
Q8VZ79,B4F7R9,0
O81058,P83755,0
Q84JS6,P15455,0
Q8GY61,Q9C8Z9,1
Q9FIU5,O65154,0
Q8LEA8,Q9ZUX4,0
O22827,Q8S8A0,0
Q708Y0,Q94CD5,0
Q9SGH4,Q96247,0
Q9FJE8,Q84R27,0
Q9M9S0,P92533,0
Q6IDB8,Q9SB64,0
Q6AWX6,Q9FN69,0
Q58G47,Q8L908,0
P42792,Q42290,1
Q01667,Q9LZJ3,0
Q24JJ3,F4KCL7,0
P49177,Q93V47,1
Q9FME3,Q84W12,0
Q3EAI1,Q9LQF2,0
O48538,F4IXJ7,0
Q8LD39,Q9LQZ7,0
Q9SIW1,Q9FK13,0
Q9SR06,O81316,0
Q9CAC5,Q8LGH4,0
Q944Q0,Q9FFD5,0
Q39211,O64722,0
Q4PSE3,Q9S829,0
Q9LFT8,Q940G3,0
Q38840,O65674,0
Q9FUY2,Q9M9Y4,0
C0LGW2,Q38819,0
Q9SJN0,Q42588,0
Q96318,Q9SHZ6,0
Q8LDK5,P17597,0
Q8LGA1,Q0WWQ5,0
Q9FRH7,A0A178VZI4,0
Q9S7N7,Q9FUY2,0
O65683,Q6DUW9,0
Q8L7C9,Q9SIT9,0
Q8W2F3,Q38912,0
Q9LSX7,Q9LX51,0
Q9FFS0,O82798,0
C0LGL4,Q9SYZ9,0
Q9LXI8,Q94AH6,0
Q8W191,Q8H0U5,0
Q9LMT0,Q9FYK0,0
P41151,P29385,0
O04603,Q39096,0
Q9FFD5,Q67XQ1,0
P43254,P92533,0
Q0WWQ5,Q6X5Y6,0
Q93VD3,Q9C4Z7,0
Q9LXG5,Q93Z17,0
C0LGR9,Q84MB2,0
B4F7P5,O82533,0
Q84JK2,Q9SXZ2,1
Q01593,P59259,0
Q9SEI0,Q96321,0
C0LGS3,Q39237,0
Q9C518,P62095,0
P47735,Q8LDK3,0
O64725,A0A7G2E9B1,0
Q9CA59,Q9LD28,1
Q0WWQ5,Q8H1B3,0
Q9SW80,Q9SPK4,0
Q42545,Q9ZTX9,0
Q9FG24,Q67Z93,0
Q39255,Q6NPT8,1
Q9SLC8,Q9S763,0
P49599,Q9CAR4,0
P93830,Q8H1U5,0
Q93VJ4,Q0WWE3,0
Q8L617,P56768,0
Q1EC66,Q42404,0
P56766,Q9ZR04,0
Q39195,Q9LKR3,0
Q9XI00,Q38903,0
Q6ID77,Q9SND4,0
Q04614,Q8LAS7,0
Q9MAI5,Q8LCQ4,0
Q9SX27,Q8L3Z8,0
Q9SEL5,Q9ZU90,0
Q6NPE9,O64725,0
P49177,Q8L3Z8,0
Q9ZNR6,Q94KL5,0
Q9FKS5,Q9LU39,0
Q9SN68,Q9CAJ0,0
Q147G5,Q9SJT1,0
B2GVM9,Q9AR19,0
Q5M759,Q9LVJ7,0
Q9SYG4,Q9FMX2,0
Q8VZ91,Q06AN9,0
O80634,Q8S307,0
Q9FYC2,A0A384KBE6,0
P11574,Q8RWA2,0
Q9FVU9,Q9FZA0,0
Q39211,Q42588,0
Q9SV23,A8MR65,0
Q8L617,Q9FUD3,0
O24629,P61839,0
Q24JJ3,P41151,0
Q38834,Q945M1,0
Q38840,Q9S763,0
Q39142,P93313,0
O65683,Q38838,0
O49279,O04294,0
Q9SN73,Q9LEX0,0
P43254,Q94BM7,1
Q9SA56,Q56Y52,0
Q9LMQ2,Q501B2,0
P42643,P56761,0
Q9FML4,Q43125,0
O22467,O81775,0
Q9LT31,Q9C5R8,0
Q9SMN1,Q94AY3,0
Q8VZ65,Q9SK66,1
Q94IB8,Q9LYC1,0
O49687,Q8LBM2,1
Q9FUA4,Q84VQ3,0
Q9FXT6,Q9ZVH4,0
Q93VJ4,Q8VZC9,0
Q8W234,Q8LGF7,0
C0LGE0,O82277,0
Q9LM46,O80366,0
F4J117,Q7FZF1,0
