protein1,protein2,interaction
Q9VQM2,Q960Q9,0
Q9V4E0,Q9W402,1
Q9W2S2,Q9VX37,0
Q9VTC2,Q9V3V9,0
Q7JYH3,O46308,0
Q9VQK1,P02572,0
Q9VEX9,Q7K738,0
Q7JYH3,Q24560,0
Q9VF73,X2J6Q6,0
P92208,P48607,0
P48149,Q0E9B6,1
A8JUS8,P40792,0
Q9VT51,P02299,0
Q9VXX0,Q9VPD2,0
Q08605,Q7K304,0
Q9VYW3,P09774,0
E1JJI1,A8JR10,0
Q9VUW2,Q9V457,0
A8JR10,Q9VVA7,0
Q86B79,O61602,0
Q59DX6,P06602,0
Q7K049,O97111,0
P31007,Q9W0G1,0
P13096,Q8IQ53,0
Q9V629,Q24306,0
Q9VYG2,Q9VMU0,0
Q24547,Q8IML3,1
P08970,Q9U5W9,0
P41042,Q9VGR1,0
Q24246,Q24454,0
Q8MS69,Q9W102,0
P51023,Q0KI69,0
A1ZAW5,Q24472,0
P12982,Q9VI00,0
Q26454,P50882,0
Q9VBY2,Q9W4B3,0
Q01071,Q24276,1
Q7KLV9,Q7KSP5,0
Q8IMX1,Q9W483,0
O44437,Q01069,0
Q9VRN6,P53034,0
Q9XZ56,O45030,0
Q7K2G1,Q9V431,0
Q9W2A5,Q9VWD5,0
Q9VGF9,P20009,0
Q9VZ01,P38979,0
X2JEH3,P39768,0
Q9VNE4,Q9VR58,1
Q8T0S6,Q9VXX8,0
Q0E9B7,Q9V3V9,0
P52486,Q9VZV5,1
O96863,Q9VE52,0
E1JHS8,A1ZAC4,0
Q9VBH8,P54359,0
P22711,Q9VTB4,0
P91943,Q9VVW2,0
Q9W4S7,Q9VBC5,0
O18334,Q9W4R3,0
P18929,Q9VX94,0
Q9VGY3,P10987,0
O18413,Q9VCE1,1
Q95TS5,Q24008,0
Q9VMN9,Q9VFE9,0
P52486,Q7KJ69,0
Q9VSG1,Q709R6,0
Q0E9B7,Q9W1B9,0
Q9VCI7,Q9VPD2,0
Q9VLV5,Q9VNE4,0
P41093,Q9VNE9,1
Q9VG96,A0A0B4K775,0
A8JR10,Q24423,0
P24350,P55935,0
Q8IPW2,Q8INQ9,0
P07664,Q9VKW8,0
O96881,Q9V428,0
Q9VWI4,Q9W2A5,0
Q9VGF9,P29327,0
Q9VA32,A1ZAK9,0
P48555,Q8I0J6,0
Q7JVK6,Q9U6B8,0
P06002,A0A0B4KFV0,0
Q9VWD5,Q9VMU0,0
P18930,P18934,1
Q9NFU0,Q9W5R8,1
P84051,Q9W1A3,0
P06602,Q9VCI7,0
Q7K1Y4,Q9VXX0,0
Q9W0B3,Q9W3Z4,1
Q24171,Q9VHB6,0
P91929,Q7KUZ5,0
Q9VDD1,P53034,0
A0A0B4JCT9,P20350,0
P22812,Q05825,0
P04197,Q9VCE1,0
Q9VKF0,Q9VR38,0
P02828,Q7K738,0
Q7JZK1,Q9V4E0,1
Q9U1K1,P20240,0
Q9V8I2,A1ZAW9,0
Q9VMN9,Q9VM64,0
Q95TY2,Q9VAF3,0
A1ZAS3,P48554,0
B6VQA1,Q00805,0
Q9VCV3,M9PBY4,0
P02283,P84040,1
Q9W380,P08510,0
Q9VS55,O16867,0
P50882,P55841,1
Q9VXP1,Q9VHG6,0
Q9V452,Q9VJY9,0
Q9VN50,Q9VD72,0
A1Z9X0,P18489,0
O01382,Q8IPC3,0
Q9VF82,Q9VQK1,0
P23758,Q9VYX7,0
Q9VU85,Q9VHV8,0
Q7KS77,Q24454,0
Q9I7L4,P06754,0
Q9V3L8,P49735,0
Q9VZ01,Q05652,0
Q8SYU5,Q9VGV7,0
P0CG69,P48588,0
Q9VQR2,Q01645,0
Q9VIT3,Q86B79,0
Q9VMV7,Q9VVI3,0
A1ZBT5,Q9V9Y9,0
Q9VCY3,Q9VTL1,0
Q9W2V7,Q9VMV7,0
Q8T0K1,P40793,0
Q9VAT0,Q05825,0
Q9VZ01,Q9VMV7,0
Q9VPY0,Q8SYU5,0
Q8IMM9,Q9VZS5,0
Q9VEF0,P11346,0
P46824,Q9VHE3,0
Q9W483,Q9VZF5,0
Q26263,Q9V8I2,0
Q7JXV9,P48555,0
Q9VYW6,Q9VEX5,0
Q9VL21,Q9V4E0,0
Q24560,Q8SYC1,0
Q45VV3,Q24324,0
Q9W4R3,Q7JWD6,0
P49847,E1JIM1,0
Q9VMR2,Q9VCU6,0
P50882,M9PGR0,0
Q9VXP1,Q9VT57,0
Q24572,P91641,0
A8JR10,Q9W115,0
Q24570,Q9VKW3,0
Q9VMX3,P13008,0
Q9W483,O77237,0
C7DZL9,Q9W402,1
P49735,Q9VIE6,1
Q8IML3,Q9VXX8,0
Q24210,O77430,0
Q7YU24,Q7KRI2,0
Q24475,Q9VPD2,0
Q24087,Q7KMG7,1
Q9VCG6,Q8IQ53,0
Q9VVI3,X2JEH3,0
Q9VP57,Q59DZ4,0
Q9VUR3,O77260,0
Q9VWE8,A8JUS8,0
Q9XZ68,Q9VBY2,0
P18933,Q9VV74,0
Q9W3Q0,P48588,0
Q94545,Q9W2K0,0
Q9VLB2,P41094,0
Q9W237,Q24168,0
P41042,Q9XZT6,0
Q9W125,Q9W380,1
Q9VSG1,Q9VF77,0
A1ZAC4,Q8T4F2,0
E1JHS8,Q9W380,0
Q27368,A1Z933,0
P42287,Q9VXX8,0
P91929,Q9VYW3,0
Q9VJE4,Q27272,0
Q9VRT7,P55841,0
Q7KUL3,Q59DZ4,0
Q8IR14,Q9VFL4,0
E1JJE8,P19889,0
Q95TY2,Q9VGF9,0
Q9VND8,Q9V3S6,0
R9PY49,Q9NFZ3,0
P13008,Q9VWI4,0
A0A0B4KGY6,C7DZL9,0
P49735,Q9VVL6,0
P46223,Q9VPD2,0
Q9VAT0,M9PJE4,0
Q9V9Y9,Q7KS77,0
Q960D3,Q9VEV9,0
Q9VSB6,Q24134,0
M9PBM3,Q9V6Q2,0
Q0E8N2,P11420,0
P29555,P40427,1
O46308,Q8IRI5,0
P23023,Q9VBY2,0
Q9VKD6,Q8IHA6,0
A1ZBP6,Q9VI00,0
Q9VCU6,Q7K3V6,0
Q9VAP2,P48598,0
Q05825,Q9VSJ8,0
Q9VF10,Q9VUI0,0
Q9VTM0,P50882,0
P52486,Q9VVP8,0
Q9VWI0,M9NF10,0
O97143,P18929,0
Q9XYN7,Q9TW27,0
P30052,P40793,0
A0A0B4JCT9,A8JUS8,1
P09087,Q24318,0
P26686,Q9VPK4,0
Q9U6B8,P28159,0
Q24152,Q9VGR1,0
Q9VXZ0,Q9VL93,0
P91641,P29555,0
Q9V457,Q9VTZ1,0
Q7JZC9,Q9VT31,0
Q7JYX5,P07247,0
B7YZF0,Q9VAT0,0
Q27415,P22807,0
Q02637,P49258,0
Q24324,Q9W481,0
E1NZB4,Q9W3Z4,0
P52654,P16378,0
P18491,Q7KM04,0
Q9W0Q5,O18334,0
A1ZBK7,Q9VKF0,0
Q8IN63,A1Z6E0,0
Q95RV2,Q24475,0
Q9VP57,P51140,0
Q9VZV5,Q7JXC4,0
Q7KTX7,D8FT20,0
Q9VVW2,Q9W418,0
Q9VTP4,Q9VWE8,0
Q9VVP8,Q9W0A8,0
Q9VWI0,Q961D1,0
Q9W0F8,Q95RJ9,0
P23758,Q9NHB0,0
Q9VKK9,C7DZL4,0
P02299,Q9VFL4,0
P16914,P48612,0
Q9VT76,P08510,0
D5SHR0,Q26263,0
Q8IRY7,Q9W2R4,0
Q9VWX1,Q7K105,0
Q9V3L7,Q9W0S8,0
Q9VI60,P23792,0
A1ZAH8,Q9VCL2,0
P08510,Q9VGF9,0
Q8INB9,Q8SWV6,0
Q9VSN0,Q9VHG6,0
Q9VWD5,P41042,0
Q24154,Q9VMI3,0
Q24139,Q9VEX5,0
Q9VMI3,P46824,0
P08645,Q8IQ92,0
Q9VZU4,Q9VVL6,0
E1JGN7,P11420,0
Q7KRU8,O61231,0
Q9VG03,Q9VBN5,0
Q9VKV6,Q24139,0
Q9VP65,O97143,0
P19889,Q27297,0
Q9XZ61,P43332,0
Q32UW5,Q9VQM2,0
Q9VFE9,C7DZL4,0
Q9VB22,Q9VYG2,0
Q01071,B7YZF0,0
Q24423,P49028,0
Q4V5L1,Q9VU85,0
Q9W1B9,P48462,0
Q9VA83,Q9VN42,0
Q9VUK7,P14003,0
Q9VPD2,P22979,0
Q9V8I2,Q9VUW2,0
P16914,Q9VJ02,0
Q9VRX1,O97111,0
P52168,Q9V3L7,0
Q26366,Q9XYU0,0
Q9VBH8,Q9V4E0,0
Q9NHP1,O44437,0
P23647,Q9VPU9,0
P48159,Q9VN06,0
Q9V393,O96989,0
Q24180,Q9V9N4,1
Q8IN63,P31007,0
Q7KSP5,Q9VRY0,0
Q8T0G4,P11420,0
Q9I7H8,Q24180,0
Q9VAR6,Q9VP65,0
Q9W218,Q9VCG6,0
Q9VLU0,Q9VU83,0
Q9VI55,Q8T0S6,0
Q8IMX1,Q9W0G1,0
Q9VFJ3,Q9VQI4,0
P49735,Q9XYU1,1
Q9V452,Q9V637,0
X2JDZ1,O18334,0
Q9W0Q5,P55828,0
Q7KNM2,Q9VTC4,0
O16130,Q9V3S6,0
Q9W1A3,P81909,0
P15357,Q9VPK4,0
Q24168,Q24169,1
P11346,P29673,0
Q9VAY8,Q9VI55,0
Q9VF10,O77237,0
Q9VS01,Q9XZ31,0
Q6NMT8,Q9VLK1,0
Q9VB23,P09774,0
Q9VCU6,P17133,0
Q9VW58,A1Z9E2,0
Q9W0I7,Q9V452,0
Q9VR65,P11147,0
P49906,Q9W402,0
Q9VZL5,Q02637,0
Q9V9Y9,P23758,0
P16378,Q9VAY8,0
Q9XZT6,Q9W3N7,0
Q9I7L4,M9PHN7,0
P17789,Q7KRI2,1
P29310,Q9VCQ7,0
Q9XYU1,Q9VBH8,0
O77237,Q05652,1
O45030,Q9VKD6,0
P13677,Q24547,0
Q9V3H8,Q9VHK6,0
Q9VMN6,Q7KRI2,0
Q8IMM9,Q24133,0
Q24186,Q9VWD9,0
Q9VJM2,Q95U62,0
P39768,P25843,0
Q9VZU1,Q9VXP1,0
P10987,Q9U1K1,1
Q95028,Q9VQR2,0
Q7KMG7,P25158,0
Q9VPT8,Q9VFP2,0
Q9XZ68,Q9VEA2,0
