protein1,protein2,interaction
Q8R2L5,Q9Z307,0
P29341,P63001,0
P62858,Q9D4K5,0
Q99J83,Q61666,0
Q60925,Q9WTM5,0
O55234,Q9D4K7,0
Q6P3B9,P48772,0
Q9CY16,Q7TMF3,0
P49817,P97351,0
P62751,P31311,0
Q9EPU5,Q920N1,0
Q8VEK3,P27512,0
P23611,O54828,0
P03925,Q9D4K7,0
P06537,P27467,0
P31938,Q60825,0
Q9CQZ5,P01942,0
A0A5E3,A0A0M3KL48,0
Q00322,O08603,0
Q9CQP8,O88509,0
Q61699,Q80WQ6,0
P49718,P53566,0
P14206,Q9R1P3,0
Q80ZV0,Q60765,0
Q9JIH2,Q3U1F9,0
P14432,Q9D125,0
P48346,P06804,0
Q9WTL8,Q9QUN3,0
Q9EQ14,P62878,0
P29341,P05627,0
P68372,Q9D0B8,1
Q9Z0H7,Q60749,0
G5E8A8,P54841,0
P54763,Q9WTM5,0
P19536,P19783,1
P83882,P62812,0
P01108,Q5SSZ7,0
P58771,P70343,0
P97792,Q922Y1,0
Q8BGU5,Q61079,0
P58771,P09631,0
O70174,Q9D032,0
P30051,Q8R4I7,0
P04224,Q9JIY5,0
Q61423,O88509,0
P97333,Q9D8E6,0
P36898,Q9CPU2,0
O88566,Q99NC0,0
P22315,P28574,0
Q99JY8,P61967,0
Q60825,Q99MJ6,1
Q9CQY1,Q91Y86,0
O88786,Q91ZE9,0
Q8CFI0,Q80Z64,0
Q02111,P70217,0
A2NTY6,Q9CXY6,0
Q9D9U9,P70297,0
P98083,Q60631,1
Q9JIQ3,Q62158,0
O88621,P01864,0
Q60795,P70343,0
Q8CDT5,Q9CR88,0
Q8CF89,Q04735,0
Q80TG9,E9Q9W7,0
P59114,Q8BKX1,0
Q69ZK9,P51667,0
Q9JM05,O89100,0
P23798,Q9DAG4,0
Q61457,Q8BJZ4,0
Q00609,P10148,0
Q8C437,P01808,0
P25233,P19785,0
P49615,P61809,1
P04228,Q9DAK2,0
Q6P8X9,P97864,0
Q9WVE0,P09022,0
Q9R1P0,P70662,0
Q9R207,Q63932,0
P62717,P86048,1
P01837,P01863,1
Q3TCJ1,P53986,0
Q9R109,Q9D0B8,0
P49138,O70570,0
Q9Z1P6,P28574,0
P48437,O08665,0
P61092,P97302,0
Q9DAU1,Q9EQ14,0
P33242,Q04887,1
Q60953,Q9D8T2,0
Q61733,Q06507,0
P97784,Q9D6K5,0
O88621,Q60631,0
P17433,Q9JM73,0
P01801,O88786,0
Q924X6,Q811D0,0
P61080,P42208,0
Q9DBL9,P30282,0
Q9R1P3,Q63844,0
O35526,Q9ES57,0
P29452,Q91V08,0
Q9WVG6,O09061,0
P97454,Q9DCA2,0
P13504,P16297,0
Q8R3R8,Q99JW4,0
P70188,Q921D4,0
Q8R2K4,P04351,0
Q9D8E6,Q99N87,0
P83882,Q9CXW4,1
Q61102,Q65ZC0,0
O88447,D3Z338,0
P61372,P05214,0
Q99NC0,Q91VN6,0
P47754,P09021,0
Q99JX3,Q9R1P1,0
O55142,Q9D8B7,0
Q811G0,Q3U1F9,0
Q149S1,Q9R109,0
Q8CFI0,Q3UYI6,0
Q8R2X8,P49722,0
Q8VCW4,P29754,0
P50752,P35980,0
P05214,P83917,0
Q00422,Q64237,0
Q148A4,O88508,0
Q6PAT0,A0A2R8VHF7,0
Q06890,Q62108,1
Q9CQ91,P19221,0
P70460,P52189,0
A2NUE8,Q9WVI9,0
Q9QYH6,O88703,0
Q3TCJ1,Q9D485,0
P07901,Q8CIB5,0
P61965,Q5SW45,0
P97310,Q99P58,0
P98084,P58064,0
Q60680,Q62424,0
Q9R207,Q9CQE3,0
Q9JIH2,Q9D3X8,0
Q9EPU5,P62082,0
P35329,Q9R1P1,0
P15307,P25799,1
P07901,P12815,0
Q9DAJ2,Q920D3,0
Q9D125,P09022,0
P01849,P04919,0
Q9WV86,P14685,0
Q63932,Q99N57,1
P59114,O88508,0
P61809,Q62179,0
V9GXK1,Q03157,0
P02088,P01864,0
Q80V24,Q9JJX7,0
P48281,Q9CWH4,0
O35963,P97814,0
P0DN34,O88384,0
Q61391,Q9R1P3,0
O35730,Q8CCI5,1
A2A825,Q922G7,0
Q8VCD5,Q9D8C6,1
Q9JHF9,Q9QUK6,1
O89100,P70218,1
P06339,Q9D3X8,0
O70263,Q8C1Z7,0
Q9Z0H7,P01898,0
P49615,P01646,0
Q9CSN1,P01820,0
Q9CPX7,Q9ES46,0
O88786,P20109,1
Q99MJ6,P61255,0
Q91VD9,Q9CQZ5,1
P62962,Q8R2L5,0
Q9WV86,P61957,0
P41969,Q8K3Z0,0
P16872,P15209,0
P07901,O55234,0
P58059,P01108,0
Q9WU78,P23819,0
P15530,Q80ZV0,0
Q7TS55,Q9CZM2,0
P22605,P28700,1
P28033,Q8R4I1,0
Q9ERI2,P48787,0
O35680,Q9JJY9,0
Q9JIK5,Q64287,0
P61014,O55234,0
Q99PI8,Q9JMA2,0
P62806,Q9Z1N2,1
P29341,O35526,0
Q8C1Z7,P48772,0
Q99N84,Q04207,0
Q2MH31,P01660,0
Q6PF93,Q8K245,1
Q8K479,Q8BFU0,0
Q62348,Q9Z1P6,0
Q8BGU5,Q61045,0
Q8K214,Q63932,0
Q80ZK0,Q3TWN3,0
Q61216,O88942,0
O88653,Q8BVN3,0
P18572,Q9D9B8,0
P01738,Q9CQJ4,0
Q99K90,Q8VCD5,0
Q8CDI2,P62862,0
P58252,P62830,1
P15247,P43431,0
Q60636,P70696,0
Q61768,P47811,0
P38533,Q9D3X8,0
Q6P8Y0,P70347,0
Q9D2N4,Q5SRX1,0
P97377,Q8R2K4,0
Q9CQA5,Q9JM73,0
P70375,Q01114,0
Q8VCF0,Q9R1S0,0
Q6PHU5,O35955,0
P01631,Q8CFI0,0
Q60837,Q80ZV0,0
P28652,Q9CQ39,0
P56391,Q8CCI5,0
D2D553,P51943,0
O35625,Q9CXW2,0
Q9D131,Q8BH16,0
O35963,P20263,0
