protein1,protein2,interaction
P41005,Q09760,0
O13826,O43036,0
P10815,Q10113,0
Q09177,O74499,0
O94620,O94263,0
O14329,O94616,0
O13672,O74433,0
O13936,O14399,0
P40848,P87324,0
O74533,P36582,0
P40984,O13712,0
O74184,O60129,0
O74555,P27584,0
O59800,O74772,1
P41887,Q10432,0
P40377,Q9P7E0,0
O14198,Q10317,1
P0CU09,Q09808,1
Q9USG6,P78789,0
P05733,Q9UT46,0
P87231,Q09170,1
P48011,Q9P7P1,1
O74533,Q9HDY7,0
Q10173,Q9Y7R3,0
O60150,C6Y4D0,0
O94534,O43080,0
Q96WV9,O74791,0
P33886,Q09892,1
O94646,Q9Y821,1
O74515,Q9P7Y4,0
Q9P7B7,O94658,0
O74983,Q9P7P1,0
P21534,Q09191,0
Q09772,P36625,0
Q10585,Q9Y7M6,0
O74771,P32390,1
Q9P7F9,Q09822,0
Q10282,P87314,0
P25457,Q10192,1
Q09177,P54789,0
O59793,Q9USM8,0
P26306,O74718,0
O94609,O74991,0
O94272,O74955,0
P78953,P0CU09,0
Q09127,O74854,0
Q96WW3,P42656,0
O74653,O74983,0
O74904,Q9US59,0
P79005,P40235,0
Q09763,Q10322,0
O42991,Q9Y7U4,0
P87159,Q09191,0
Q9P7M1,Q09150,0
P56288,Q9USP0,1
Q10056,O74910,0
Q9UST6,Q10343,0
Q9US59,O74499,0
P87051,O60104,0
O74533,C6Y4D0,0
O14246,O14097,0
Q9P802,Q9UTI3,0
Q09116,O13978,0
O74560,Q9URY0,0
Q9Y709,P50527,0
O94355,Q6BDR8,0
O59945,P27584,0
O74515,P50527,0
O94321,O94444,0
Q9USP0,Q9P7W4,0
O42978,Q9P7F9,0
Q10322,P30261,0
P79065,Q10113,1
Q9UST6,Q9Y7Z1,0
P13681,Q9P779,0
O42995,Q09924,0
P40848,O94547,0
P0CT68,P50582,0
Q0E7J7,O36027,0
O74446,O14098,0
P0CF96,Q9UUC6,0
P14575,O94668,0
P06652,Q9UTS6,0
Q9USP0,P04551,0
Q10218,P87215,0
O14122,O74988,0
O74471,P36622,0
O13836,O94376,0
O14064,Q06182,0
Q9Y7Z1,O14140,0
Q9UUB7,Q09717,0
Q96WV9,Q09882,0
O74774,Q10109,0
O94288,Q9Y709,0
O94542,O42661,0
O74399,O43114,0
P32434,Q09819,0
P10815,Q09685,0
Q9P6Q0,Q09819,0
O94687,O14459,0
Q11120,P78929,0
P30261,Q9Y7Z7,0
Q09772,O42978,0
Q9USH1,Q9UTR8,0
O94326,P87174,0
Q9Y821,O74985,0
O42709,O42844,0
Q9UU79,Q9P7M3,0
Q09330,Q9P7X1,0
Q09808,O94556,0
Q07538,P05219,0
O74471,O94603,0
P27638,Q9P7B8,0
O14350,Q10134,0
P41412,Q10169,0
O74804,O74790,0
O94444,Q09196,0
P36618,O94542,0
Q9UST6,Q10113,0
Q10428,O74895,0
Q09924,P87074,0
Q9P6R1,Q10430,0
P10989,P32372,0
Q09698,Q9P7W4,0
O74531,P27584,0
O13782,P09322,0
O36027,O42634,0
O74825,P52822,0
Q10067,Q9Y794,1
Q9P7Y4,Q9P7F9,0
O43036,Q9USL5,0
P36582,P10989,0
O13758,O42975,1
O42905,P36601,1
P40995,O60164,0
Q09142,O14343,0
P01129,O13978,0
Q9USZ3,Q9UUE5,0
O14180,O94603,0
O13758,O94268,0
O42991,Q9P6R1,0
Q9P7T4,O74533,0
P56523,Q10159,0
Q9HGL6,O14269,0
O60158,P12000,0
O42667,P40997,0
Q10353,P87126,0
P36618,Q9UU79,0
O74895,O94658,1
O14327,Q9P7Q8,0
Q7LL14,Q9UT86,0
Q9USV1,P05733,0
Q9UTR8,O60187,0
Q09170,Q9UUE5,0
O60052,Q10330,0
O94360,O94717,0
Q10163,O74774,0
O94603,O13688,0
P25457,O94326,0
O74904,P87323,0
O14216,O59790,0
P21135,O94707,0
Q9USP9,O75001,0
P36601,O74958,0
O13790,Q11120,0
P78774,O94646,0
O14329,Q10951,0
O13836,P0CT60,0
Q92399,O13758,0
Q9HFE5,P26306,0
Q92352,P52890,0
Q53EK2,Q10585,0
O13964,O94316,0
Q10272,O94238,0
O42995,Q9P802,1
Q12381,O74560,0
Q9P7X1,O74966,0
Q9UUJ1,O60129,0
P05767,Q10330,1
P30261,Q03392,1
Q10343,Q9UTR8,0
Q10366,Q92352,0
Q10271,O13688,0
Q10322,O14329,0
Q9P805,Q9URY2,0
Q10585,P56287,0
P37382,Q10134,0
Q10134,O74985,0
Q9USV3,Q9Y738,0
P87309,Q09150,1
P78794,P79071,0
O59767,O74988,0
O13685,P87312,0
O94616,P48011,1
O14343,Q7LL14,0
O43070,P36583,0
O13828,P87074,0
P87174,O13685,0
P33886,O42634,0
Q9P6M0,P50527,0
Q9P7P2,Q10271,0
P12000,Q9USH1,0
P78774,P01129,0
O74446,Q10173,0
A6X980,P87238,0
P50523,Q9P7X1,1
P12000,Q9C0Z9,0
Q9P7B7,O94684,0
Q09858,P36622,0
O13916,P41410,0
Q09823,P0CT77,0
Q11120,O74991,0
O74796,O14198,0
P26306,Q09683,0
Q10353,O43071,0
O74957,O94276,1
O14140,O14343,0
O94658,Q9Y821,0
O60052,P50530,0
O43120,P54789,0
P50527,O74311,0
O42975,Q09808,0
P87027,P04551,0
Q9UTI3,P0CG72,0
O74433,O13828,0
O94684,P05219,0
P28829,Q09898,0
O74533,P78761,1
P10815,P40380,1
O13782,P0CT77,0
P05764,O14246,0
Q9US59,P79010,0
P0CG72,P40371,0
P26306,P41412,0
Q10193,P87312,0
O14343,Q96TL7,0
P87176,Q10430,0
Q92352,P09988,0
Q9P7M1,P10989,0
Q09824,O42844,0
P0CT68,Q09698,0
Q9P7R9,Q01112,0
O74988,P78963,0
Q09761,Q09822,0
P0CF96,O94288,0
Q9P7M1,Q9UTB6,1
O94646,Q9USX3,0
O74360,Q01112,1
Q10430,Q9Y7L8,0
O74957,Q9P7B8,1
P36595,Q09882,0
Q9P779,Q9UT32,0
Q9P6R1,O14036,0
Q9UTB6,Q09177,0
O74895,P10815,0
P32390,P40997,0
P87245,P04910,0
Q9C0Z9,Q09858,0
O13852,O14246,1
P78953,Q02088,0
P14575,O13936,0
Q09892,Q9P7B8,0
O14417,Q9USR7,0
O13681,Q09825,1
P33886,P78794,0
P0CT68,Q9P784,1
O94326,O42978,0
O42844,Q09898,0
P39964,O14241,0
O43071,P0CT60,0
Q9UT76,P21534,0
Q09177,P27584,0
Q9Y7Z7,O14229,0
Q9USP9,Q09858,0
Q1MTQ9,O42667,0
Q10134,O13688,0
O14246,P78929,0
O74736,O74555,0
Q9C107,Q9UTI3,0
P08090,O74518,0
Q9UUB7,P78761,0
Q07538,O59755,0
O74791,O43036,0
P33886,Q9UUE5,0
O14122,Q09916,0
P50523,P28829,0
O43070,Q09683,1
P01129,P0C5Y7,0
P41889,O59836,0
O60158,P41887,0
P10989,O14388,0
Q9P7P1,Q9P7X1,0
O94285,P41889,0
O74184,P0CT77,0
Q9UUI1,Q09763,0
Q9URY2,O94722,0
P37382,O14064,0
Q09763,O94752,0
O00102,O13790,0
P40372,P56288,0
P41410,Q9P7Y4,0
Q9UUI1,O74718,0
O94238,P37382,0
P56286,O14064,0
O13790,Q92462,0
P34208,P07657,0
Q12701,Q9UTK6,0
O42634,Q10430,0
Q9P3B2,O94376,0
O13672,O94684,0
P79015,Q9UST6,0
O94659,O13688,0
O74398,Q10430,0
O13339,O42975,0
Q9HGL8,Q09898,0
P87310,P28748,0
Q9P7E0,P87126,0
Q12126,Q9HDX9,0
Q9URY2,O13782,0
O42846,P05767,1
O14198,Q09330,0
O94705,O13802,0
O43080,O13782,0
Q10193,O14097,0
Q12381,P0C5Y7,0
O94316,P49731,0
P36585,P79015,1
P05734,O36027,0
Q09142,Q9Y794,1
Q09858,Q10193,0
Q9P779,Q12381,0
O59800,O14180,0
Q9USM8,O14036,0
Q10366,Q9UUJ4,0
P87314,Q9URY2,0
P05764,O14229,0
Q09196,O42975,0
P36618,Q09683,0
O13916,P40984,0
Q9UUC1,P08647,0
Q1MTN3,O14352,0
P05501,O74518,0
Q9P7P2,O59836,0
Q10322,P10651,0
O94705,O94658,0
O43114,O59680,0
Q09116,Q9HGL8,0
Q09933,P0CH07,0
Q9Y738,O13852,0
Q92399,O60052,0
P09322,O94687,0
Q9UTB6,Q1MTQ9,0
O59734,Q9USZ3,1
Q9USZ6,Q12126,0
O94244,Q9P802,1
Q9P7Y4,O74471,0
Q12701,O13816,0
P08647,O43070,0
Q9USZ6,Q09882,0
Q4PIR3,Q92399,0
Q09898,Q9Y7J4,0
O59755,O74184,0
Q9USJ7,Q9Y7Z1,0
Q9HGL8,O59793,0
P10506,Q10056,0
O13964,Q9Y821,1
P78794,O59703,0
O13953,O59702,1
Q9P782,P08965,0
O94658,Q9HGL6,1
P50523,Q03392,0
O74985,O74957,0
O14241,O94288,0
O94620,Q9P802,0
O13286,O13936,0
Q09196,Q9UUA8,0
O13728,P10989,1
O14269,Q9UTP0,0
P36585,Q9P784,1
P49731,P0CH07,0
O59793,O13978,0
O14129,Q10366,0
