protein1,protein2,interaction
4YR8(2):A,6IXX(1):A,0
4I77(1):Z,7P4A(1):E,0
7LWB(1):D,5V7P(1):A,0
4ZN3(1):B,3KJ4(2):B,0
3CW2(3):E,5F28(3):F,0
7MNW(3):F,3BX1(3):C,0
6URQ(1):D,4OWT(1):B,0
3ABL(1):D,3ABL(1):E,1
4PHT(3):C,1RVF(1):2,0
5MG5(1):A,7N1J(1):A,0
2F2L(1):X,5KDM(1):A,0
7VRC(2):D,6JN2(1):A,0
2WM9(1):A,6NXK(1):C,0
6IXX(1):I,3VXM(1):D,0
3A98(2):C,3MOP(1):K,0
6Q45(1):A,6BAE(1):B,0
4U3J(1):C,3G5O(1):B,0
6NDG(1):C,4KXZ(2):Q,0
1I85(1):D,2CIO(1):A,0
5GPG(1):B,5O1R(1):L,0
1OR7(1):A,3F9K(16):e,0
4PD4(1):E,4PD4(1):I,1
1FBI(1):X,4UFR(1):D,0
6QGT(1):B,5J03(1):A,0
5FUG(3):B,3SQG(1):C,0
7CUI(2):D,5NMV(1):L,0
2IO3(1):A,1QHH(1):C,0
7AWE(1):R,7AWE(1):S,1
6U52(1):A,1P22(1):B,0
5LEF(1):A,1DOW(1):A,0
2ZSI(1):B,4XGQ(1):D,0
4DY7(2):E,4AOR(3):F,0
4M76(1):A,7CQV(1):E,0
1Y4A(1):I,5SWK(1):A,0
4B1Y(1):M,4TXV(1):B,0
1B35(1):C,2VJT(1):A,0
3T5V(1):A,6CSU(1):C,0
4OR5(1):C,4BL0(1):E,0
1OQE(1):I,1MVF(2):B,0
5TVO(1):B,1JR3(1):E,0
6ET2(2):C,6CHG(1):F,0
7DFP(1):C,3HD7(2):G,0
2DSP(1):I,4Y7W(1):M,0
5XYF(1):A,7AHV(1):H,0
6OAU(1):A,7SJQ(1):D,0
5DN6(1):I,4NBX(1):A,0
7B27(1):CCC,3KYJ(1):B,0
2O01(1):F,6XGU(1):A,0
5KVE(1):L,4CT0(1):B,0
4Y7M(2):B,7A0V(1):B,0
1FO0(1):H,6E5B(1):D,0
7DAA(1):A,5T59(2):F,0
5XYF(1):A,4X57(1):A,0
5MQC(1):C,5MQC(1):B,1
4XVP(3):C,5E79(1):D,0
3VLB(1):A,5JP4(1):A,0
3FM8(1):C,6BUH(3):F,0
1EGJ(1):A,3RKD(1):L,0
5DHX(2):L,7AMS(1):B,0
5CX2(1):D,4IHF(2):A,0
3HRD(1):A,3T1Q(1):A,0
7DDX(1):B,5J03(1):A,0
4YBQ(2):B,3S36(1):X,0
1YJD(1):C,7PB8(1):U,0
6FNP(1):D,4Z2M(1):I,0
4DCN(1):C,7DFP(1):C,0
4Q66(1):C,6SF1(1):A,0
5M2S(1):B,7CJ0(1):D,0
7KET(1):A,1R2C(2):C,0
2P9K(1):C,2P9K(1):F,1
3GI9(1):C,2Y9M(1):A,0
2XND(1):I,6U7B(1):D,0
4JHW(1):H,5CX2(1):D,0
3LW5(1):2,5W3X(2):C,0
1TII(1):H,1H9H(1):I,0
