pair,D-SCRIPT,Topsy-Turvy,TT3D,TUnA,PLM-interact,PLMDA-PPI
Q94F62_Q9LN09,0.0021811,0.012968,0.016032,0.32121843099594116,0.000277831160929,0.0004486819379962
F4HW90_F4KGY6,0.0021958,0.01294,0.015907,0.008007584139704704,0.0075596556998789,0.0109017258509993
P29381_Q9C9Z5,0.0022102,0.012947,0.01588,0.011022621765732765,0.000667811720632,0.9757856726646424
Q93YT1_Q93WC4,0.0021795,0.012927,0.01597,0.07274442911148071,0.0012018209090456,0.9724737405776978
P56751_Q9LFD5,0.002785,0.012938,0.015946,0.1656317412853241,0.0002252281410619,0.0002302907669218
Q94K78_Q39212,0.0029441,0.013024,0.015928,0.02376496233046055,0.0002601375745143,0.0001972314639715
P93024_Q38826,0.021446,0.012961,0.017298,0.018767058849334717,0.9974777102470398,0.4951025247573852
Q8GZA8_Q9SIW1,0.0021864,0.012915,0.015906,0.01049518957734108,0.0167329628020524,0.2472004890441894
P49678_Q93YT1,0.0021826,0.012926,0.015929,0.3299705386161804,0.0003384448064025,0.1373134851455688
Q9FRL5_Q8GUN5,0.0062855,0.012999,0.016125,0.04474594444036484,0.9979185461997986,0.0008929630275815
Q6GKU7_Q9SEI0,0.0022087,0.013016,0.016017,0.388340562582016,0.0015836420934647,0.0019752890802919
Q9ZSY8_C0LGT1,0.0022184,0.012955,0.016017,0.053064975887537,0.0007098980131559,0.0001991295721381
P33077_Q29PV4,0.0022122,0.012933,0.01589,0.29549092054367065,0.0004574754857458,0.8053697943687439
O49484_Q9C9W9,0.0025232,0.012959,0.01593,0.1470954865217209,0.0120224468410015,0.000444642821094
O81775_P92532,0.0021895,0.012938,0.015949,0.07407291978597641,0.00029037008062,0.8834684491157532
Q8LFR2_Q7XJ98,0.0022324,0.012959,0.016009,0.11545398831367493,0.0224267523735761,0.9756848812103271
Q38882_Q9LX90,0.0021832,0.013042,0.015976,0.01526641845703125,0.0032308625523,0.9637559652328492
Q94K07_Q56XM1,0.0022526,0.012924,0.017395,0.029501713812351227,0.0009102108888328,0.7663663029670715
O22152_O65448,0.0021962,0.012924,0.015906,0.012998661026358604,0.000534794293344,0.0052158827893435
