pair,D-SCRIPT,Topsy-Turvy,TT3D,TUnA,PLM-interact,PLMDA-PPI
C5WLN8_Q9VQI5,0.0021809,0.012967,0.016613,0.154164120554924,0.0009723423863761,0.0002705923980101
P18931_P18932,0.0053688,0.088288,0.5137,0.17351464927196503,0.9989101886749268,0.0011225310154259
P42207_Q9VJM2,0.0027601,0.012987,0.016244,0.14790983498096466,0.0006373916985467,0.0014038801891729
Q9W402_P83094,0.0022665,0.012935,0.015932,0.07503589242696762,0.0005972676444798,0.0002818647189997
P29673_Q9VT76,0.002197,0.013091,0.015995,0.04671809822320938,0.0008631393429823,0.0007833790732547
P20350_Q9VAH9,0.002193,0.012959,0.01591,0.236459419131279,0.0003552284615579,0.0035500116646289
Q01069_Q7KUL3,0.0063222,0.01308,0.015927,0.16894298791885376,0.0012980340979993,0.0016695171361789
Q9VAC4_Q9VTT2,0.0021906,0.012935,0.016354,0.2761226296424866,0.0048873648047447,0.003167568705976
Q9V9W3_Q9W1Y1,0.0021853,0.012912,0.015882,0.052354805171489716,0.0003830974746961,0.0003846200706902
Q9V4Q8_Q9W218,0.0021983,0.012935,0.015897,0.17174170911312103,0.0062340442091226,0.0002616354613564
Q95028_Q9VQM2,0.0023362,0.012977,0.015972,0.01599787548184395,0.0004446430830284,0.0039569553919136
Q7K1V0_Q9VVU2,0.0021689,0.012929,0.01594,0.11868958920240402,0.0073777516372501,0.0462635941803455
P46223_A1ZB42,0.0021794,0.012983,0.015913,0.2978040277957916,0.0022050426341593,0.0213683638721704
Q9W115_Q9XZT6,0.0022246,0.01297,0.015926,0.03811809420585632,0.0257670991122722,0.8956009745597839
P48588_Q9VFE4,0.0023945,0.013053,0.016657,0.22392618656158447,0.0010084526147693,0.0001269553613383
O16130_Q9VJ83,0.0022589,0.012962,0.015868,0.2863770127296448,0.0005653914995491,0.0038510805461555
Q7JZK1_O77260,0.0021759,0.01293,0.015895,0.22419258952140808,0.0014030580641701,0.0007404625648632
Q7KUL3_A8DYC4,0.0022164,0.013201,0.015934,0.2563866376876831,0.0006645590765401,0.0004890376585535
Q24154_Q9V9M7,0.0023005,0.013397,0.019388,0.02052411250770092,0.0056498139165341,0.0021388228051364
O46308_P98149,0.0024685,0.012966,0.016365,0.289228230714798,0.0026308030355721,0.011113247834146
Q24454_P22464,0.0021953,0.012919,0.015864,0.08797882497310638,0.0018302282551303,0.0313558913767337
P18929_Q9VF27,0.38017,0.24353,0.031389,0.008169976994395256,0.224513903260231,0.0031635630875825
Q9VJZ6_Q9VTC2,0.0021895,0.012967,0.015876,0.06492424756288528,0.0006718868389725,0.0006101278122514
P26686_Q9VBH8,0.0022072,0.013004,0.015914,0.004366631619632244,0.0006298891967162,0.0045493193902075
O77260_P02833,0.0022773,0.012971,0.016058,0.23416949808597565,0.0037806036416441,0.0072376611642539
P83949_Q7KLV9,0.0022271,0.013649,0.015951,0.015400882810354233,0.0007466135430149,0.0096651846542954
Q9VQF9_P08175,0.0022388,0.012948,0.015853,0.13856065273284912,0.0005392745370045,0.0022610989399254
A1A6X4_Q9VBQ3,0.0021807,0.014117,0.01609,0.031674791127443314,0.0006559091852977,0.0969983264803886
Q9VVH8_Q9VVV9,0.0022631,0.012959,0.015905,0.02347520925104618,0.0170294661074876,0.0019840628374367
P18931_Q9VTU2,0.0022572,0.015968,0.015937,0.21752116084098816,0.0002904279390349,0.0003549515095073
Q9VJY6_Q7KRI2,0.0022081,0.012971,0.015911,0.5409610271453857,0.0002490422339178,0.0050748554058372
Q8T414_A1Z933,0.0021784,0.012922,0.015878,0.05713222175836563,0.0018322678515687,0.0018925715703517
Q9VA83_P43332,0.0021918,0.012919,0.015881,0.509568989276886,0.0005103602888993,0.9828349351882936
P22809_Q9VP78,0.076236,0.012953,0.015984,0.0061276750639081,0.0091204512864351,0.0010368800722062
Q95TS5_O16867,0.0021821,0.013049,0.015947,0.0929928719997406,0.0003331310290377,0.9587653279304504
C7DZL9_Q9VP78,0.0022265,0.012941,0.015865,0.1881399154663086,0.000227751705097,0.9218838214874268
Q9VG96_M9PBY4,0.0022128,0.012982,0.015907,0.5911829471588135,0.9489910006523132,0.0005586415063589
Q9W4R3_P07548,0.002284,0.013371,0.016052,0.023563973605632782,0.0021136980503797,0.0014687224756926
P41093_Q9W1Y1,0.0021761,0.01291,0.015902,0.27825698256492615,0.0013684702571481,0.0725950449705123
Q8IR14_P22464,0.0021773,0.012934,0.015874,0.18817061185836792,0.0017928529996424,0.295590877532959
Q9VW58_P42287,0.0021795,0.012976,0.015885,0.08960388600826263,0.0007714034290984,0.0013938201591372
P46223_Q8MUJ1,0.0021828,0.012921,0.015962,0.02098441682755947,0.0002912339696194,0.0004011770943179
Q9VJ19_P26686,0.0021953,0.012993,0.015903,0.004254063591361046,0.0006847975892014,0.2542822360992431
P18931_Q7JWR4,0.0021699,0.012947,0.015879,0.14747391641139984,0.0003069337690249,0.0040896446444094
Q9XZ31_Q9VAF2,0.21601,0.014256,0.015988,0.0301714688539505,0.3558868765830993,0.0570607632398605
P91641_Q9VCL2,0.0021884,0.012919,0.015883,0.10668518394231796,0.9714365601539612,0.9465638399124146
Q9VTM0_Q9VNB5,0.0023033,0.012934,0.015886,0.017909685149788857,0.0002756126341409,0.001266986131668
Q9VUI0_O97420,0.002218,0.012973,0.015896,0.16884157061576843,0.0006727521540597,0.0003301895339973
Q03017_Q9VXZ0,0.0021926,0.013026,0.016022,0.727337658405304,0.0036051443312317,0.0001486647233832
P22711_P43332,0.0022855,0.01306,0.016051,0.2739548683166504,0.9956753849983216,0.0114895701408386
O46036_Q9VEX5,0.0021903,0.012962,0.01595,0.02269127406179905,0.000423389399657,0.1996350288391113
Q9VEX5_Q95028,0.0021688,0.012952,0.015917,0.0214118380099535,0.0033936179243028,0.9097613096237184
P18930_Q9W402,0.016502,0.013065,0.01609,0.1119709238409996,0.0006877309060655,0.0120870657265186
P25008_Q9W2V7,0.002185,0.012911,0.015884,0.013213940896093845,0.0002273269201396,0.0033029180485755
P26686_Q9W5R8,0.0021856,0.012946,0.015926,0.0706750750541687,0.0003820427227765,0.0003362699353601
Q9W237_X2JDZ1,0.0021835,0.012934,0.01591,0.12860547006130219,0.0004756654670927,0.0006935277488082
Q8T3Y0_Q9VTE0,0.0022307,0.013031,0.015956,0.061793114989995956,0.0003010058135259,0.9857857823371888
P24350_Q94518,0.0022873,0.012939,0.015921,0.021837584674358368,0.0002932154166046,0.8975644707679749
Q9W4R3_Q9VTE5,0.002193,0.012945,0.015904,0.10311903059482574,0.0003183981461916,0.0005404670373536
P17133_Q24570,0.0022427,0.012955,0.01601,0.16831810772418976,0.0062714121304452,0.0207587536424398
Q9VQR2_Q9VXS3,0.0021905,0.012911,0.015901,0.18088293075561523,0.0022572306916117,0.0479656346142292
Q9V9W3_Q9VNE9,0.00253,0.012931,0.017141,0.008287004195153713,0.9977437257766724,0.0084527693688869
Q8T965_Q9VBI1,0.0086186,0.013113,0.015971,0.017169199883937836,0.0015230122953653,0.0005012050969526
P06602_Q9VT31,0.004162,0.012947,0.015901,0.4452301859855652,0.0009813967626541,0.0087659731507301
Q9VUB8_Q9V637,0.0022017,0.01295,0.015923,0.051555998623371124,0.0007394609274342,0.0220126546919345
Q24423_Q9VP78,0.0026004,0.012972,0.016031,0.11939814686775208,0.0017522933194413,0.8600733280181885
Q9VZ01_Q9VHG6,0.0022493,0.012933,0.015883,0.014363409020006657,0.0014852887252345,0.0007516324985772
Q9VWA1_Q95RJ9,0.0021999,0.01296,0.016289,0.02251959964632988,0.1865573525428772,0.000517878041137
Q9VP85_O61602,0.002305,0.012919,0.01598,0.701404333114624,0.0010066322283819,0.0007825713837519
O77260_Q9VJ19,0.0021711,0.012927,0.015882,0.0840611681342125,0.0013568920549005,0.0014506259467452
Q9VJI9_P18930,0.0022617,0.013009,0.01591,0.3980182111263275,0.000224586969125,0.000648368615657
M9PBY4_P18933,0.002218,0.012921,0.015872,0.05267590284347534,0.0004281404835637,0.0027253520675003
P83094_Q9W0A8,0.0021783,0.012981,0.015956,0.10629760473966599,0.0003829017514362,0.982194185256958
P24350_Q9VBI1,0.0022532,0.012926,0.015913,0.03388705477118492,0.0003450622025411,0.059207260608673
Q7KM15_Q9W087,0.0021882,0.012984,0.015907,0.21467004716396332,0.0007679719710722,0.0110798589885234
Q4V5L1_P10734,0.0022078,0.01293,0.015894,0.05687236785888672,0.000492330873385,0.0002864922280423
Q8SXU3_P22464,0.0021895,0.012926,0.015887,0.08607644587755203,0.0003173160366714,0.0079122800379991
Q9TW27_Q9VT57,0.049786,0.012989,0.01763,0.0811520591378212,0.0094900596886873,0.6745114922523499
Q7KUZ5_Q9W1Y1,0.0021704,0.012921,0.015874,0.02256305329501629,0.0002686124062165,0.0007026209495961
P83094_Q7KLV9,0.0023663,0.013732,0.016013,0.13953296840190887,0.0006152282003313,0.0002000510285142
O16797_P48159,0.0098102,0.013335,0.018038,0.04663359746336937,0.9987801909446716,0.9920248985290528
P10627_Q9VWE8,0.0022082,0.013197,0.015935,0.39454081654548645,0.0027209087274968,0.0022065150551497
Q95TS5_Q95028,0.0025942,0.013088,0.015934,0.09180841594934464,0.0007523004314862,0.9705427885055542
Q9VUK7_Q9NFU0,0.37835,0.012961,0.016323,0.07857340574264526,0.0027283926028758,0.0002907240705098
