pair,D-SCRIPT,Topsy-Turvy,TT3D,TUnA,PLM-interact,PLMDA-PPI
Q99679_Q96E35,0.0021874,0.013009,0.016036,0.04088951647281647,0.0009144294308498,0.0024400718975812
Q9BR61_P37287,0.7512,0.17788,0.015957,0.0065843830816447735,0.0034624952822923,0.049317330121994
Q8NA29_Q7Z5V6,0.0021895,0.012928,0.015903,0.037898093461990356,0.000297671125736,0.0017693107947707
Q8N988_Q6ISB3,0.0021951,0.01309,0.015922,0.03368819132447243,0.0011426035780459,0.0006507687503471
O00574_Q8NFJ9,0.0021807,0.013078,0.016205,0.27316105365753174,0.0007241984712891,0.000726431782823
Q8WYA6_Q16555,0.0022127,0.012963,0.015942,0.013921787030994892,0.001582235796377,0.0011884917039424
Q9GZU1_O76021,0.0022194,0.012997,0.015972,0.0012757520889863372,0.9962245225906372,0.000509541016072
Q9NXV2_Q7L1Q6,0.0021708,0.01304,0.015898,0.24863509833812714,0.0002717281167861,0.0006782515556551
Q9BT49_Q86TV6,0.0021851,0.012941,0.033108,0.04725343734025955,0.0088167786598205,0.0005773458979092
P47710_P23942,0.0026347,0.013547,0.015898,0.0036200149916112423,0.0002444897836539,0.0068039922043681
Q6IPM2_O43310,0.010412,0.021918,0.015928,0.030206307768821716,0.0113927414640784,0.0643799230456352
P31151_P41217,0.0022139,0.01299,0.016161,0.002361155115067959,0.000585326750297,0.0149843832477927
P40238_Q6N069,0.0021983,0.012964,0.016887,0.022112736478447914,0.0003994009748566,0.3349093198776245
A6NHX0_Q8IWT6,0.0021994,0.012914,0.015936,0.13746419548988342,0.0008032622863538,0.1095917448401451
P21854_P09086,0.0021796,0.012947,0.01594,0.029440227895975113,0.0073178857564926,0.0004961934755556
P29218_P40222,0.0022084,0.012989,0.017292,0.3981834650039673,0.0003255915944464,0.001400817069225
O43561_P78314,0.32582,0.18739,0.015948,0.06538118422031403,0.008190500549972,0.2266844511032104
P48145_Q8WW32,0.0021751,0.013009,0.015884,0.05375653877854347,0.0002534207887947,0.0292334295809268
O95154_Q86SE8,0.0021909,0.012962,0.01605,0.32548680901527405,0.0028557733166962,0.0007368858787231
P16662_Q03154,0.0044559,0.76208,0.73127,0.36203402280807495,0.0031411766540259,0.2310207188129425
Q2TAL6_Q9Y6G9,0.0021792,0.013214,0.015945,0.10015975683927536,0.0003478435392025,0.0005699228495359
P82251_B2RXF5,0.0021872,0.012931,0.016132,0.0028050323016941547,0.0042775482870638,0.000655865704175
O15217_O60741,0.002209,0.013061,0.016091,0.5557013750076294,0.0006378690013661,0.338094025850296
A8MW99_P11712,0.002325,0.012927,0.016008,0.07067494839429855,0.0007192100747488,0.8095571994781494
Q3YBR2_P51398,0.0030776,0.013136,0.015949,0.019962936639785767,0.0008813105523586,0.0001919209316838
Q86TV6_O00180,0.0021808,0.012981,0.016099,0.04038595035672188,0.0005204327171668,0.0092856306582689
P0C5Z0_P02655,0.0021798,0.013056,0.01621,0.12305401265621185,0.0006319118547253,0.0751445963978767
Q9Y5Z9_Q9BVI4,0.0021756,0.013294,0.015913,0.12844239175319672,0.000404167571105,0.0009845612803474
Q9UQ84_O15305,0.002186,0.012925,0.016002,0.03668011352419853,0.0009484617621637,0.0005288709653541
Q69YN2_Q15654,0.0021955,0.013129,0.015914,0.6637865900993347,0.0325811989605426,0.0008146542240865
Q01113_P80217,0.21757,0.030682,0.015983,0.009395944885909557,0.9966608285903932,0.0001897170586744
Q5U623_O43181,0.0021975,0.013058,0.015969,0.02543758414685726,0.0006380116101354,0.0236684381961822
P17931_P48146,0.0022053,0.01296,0.017028,0.008034858852624893,0.0014856125926598,0.0003280139935668
Q8IZK6_Q9NU19,0.028125,0.013008,0.016002,0.01097471546381712,0.0034113081637769,0.000474873726489
O43353_Q8TD46,0.0022017,0.01297,0.015909,0.006927249487489462,0.2163615971803665,0.0060308147221803
P15882_P48145,0.016478,0.013024,0.027409,0.05876189097762108,0.0017104562139138,0.0117143439128994
Q9ULZ2_Q9NX01,0.0022758,0.013144,0.015847,0.1103784516453743,0.0022692505735903,0.0017995799425989
O14678_P78344,0.002259,0.013015,0.019901,0.07440345734357834,0.0014773259172216,0.0144600709900259
Q8N684_Q6NXE6,0.0021879,0.012971,0.01604,0.03941112384200096,0.0018218818586319,0.0004697055264841
Q6NXE6_Q96FZ7,0.0021743,0.01304,0.015883,0.008490106090903282,0.0008126271422952,0.0028344711754471
O15371_O75821,0.0023132,0.012939,0.015942,0.023224735632538795,0.0011651597451418,0.0049130227416753
Q9NYM9_Q9BPX3,0.002259,0.013002,0.015967,0.002716024871915579,0.0043431348167359,0.9183456301689148
Q8IUD6_Q9UBT7,0.0024237,0.012987,0.017627,0.115794837474823,0.0184704884886741,0.8804612755775452
Q9HCX4_O43639,0.0021774,0.012926,0.015888,0.03257741034030914,0.0149800973013043,0.0007669678889214
P09661_Q96BP3,0.0022003,0.012915,0.015926,0.003966350574046373,0.0021908162161707,0.0004252478538546
Q16281_Q14232,0.0021812,0.01314,0.017317,0.09742387384176254,0.0014464635169133,0.0007967777200974
Q3MIT2_Q9C005,0.0021865,0.017122,0.015908,0.11588391661643982,0.0004505721444729,0.0002501846174709
P53701_Q9H4D1,0.0021803,0.012969,0.015892,0.38885053992271423,0.0002226236247224,0.0020974061917513
Q8WVJ2_O43837,0.0021875,0.013095,0.015912,0.06128577142953873,0.0011671148240566,0.0026210146024823
P62249_P62273,0.0029498,0.013034,0.01601,0.0578315444290638,0.0023006454575806,0.0010861037299036
Q14320_Q2M3C6,0.0022098,0.01313,0.015949,0.12181226909160614,0.000696164323017,0.0002617744321469
O60353_Q9BPU6,0.0025734,0.013427,0.016039,0.3693998456001282,0.0005738782929256,0.0071530388668179
Q96BM1_O43175,0.0021685,0.012967,0.015872,0.06199173256754875,0.0002241956535726,0.0017609030473977
Q6ZMS7_Q14444,0.0024713,0.013419,0.016171,0.04352544993162155,0.0086084846407175,0.0714360922574997
O00255_P50213,0.002191,0.012954,0.015886,0.11536470800638199,0.0004984567640349,0.0011526616290211
P60891_Q14CB8,0.0022724,0.013143,0.016039,0.056716885417699814,0.0002710000844672,0.0141324698925018
Q9Y6E2_Q8N2K0,0.0021875,0.013011,0.015891,0.05647803843021393,0.0002097266406053,0.0013240976259112
Q9H875_Q86W54,0.0028326,0.01293,0.015981,0.033830348402261734,0.0012115435674786,0.0053080189973115
Q9H5I1_Q9NRF8,0.0021833,0.013021,0.015948,0.208734393119812,0.0014944679569453,0.0119838751852512
Q8NC24_P17275,0.0021848,0.012969,0.015972,0.037920139729976654,0.0025650409515947,0.0058289137668907
