pair,D-SCRIPT,Topsy-Turvy,TT3D,TUnA,PLM-interact,PLMDA-PPI
P29352_Q99LY9,0.0021852,0.012956,0.015981,0.009775840677320957,0.0043379971757531,0.2689101994037628
Q9DBG3_O35449,0.0022955,0.013774,0.01591,0.031428977847099304,0.0004846365191042,0.3039551675319671
Q61584_P0DN34,0.0022136,0.012956,0.015933,0.14771953225135803,0.002129886765033,0.0016662396956235
P70175_E9Q9F6,0.0021842,0.012953,0.015923,0.07708873599767685,0.0024076676927506,0.8989719748497009
Q60631_Q8C180,0.0021945,0.012984,0.017504,0.02264547348022461,0.0095934094861149,0.0001610760664334
P61358_P01878,0.0021737,0.012936,0.015882,0.03373989462852478,0.0002503330179024,0.0004308165516704
P58059_P51450,0.002182,0.012947,0.01599,0.030732659623026848,0.0003717486979439,0.0656828582286834
Q9CQ39_Q6ZWN5,0.002189,0.012932,0.015911,0.049011457711458206,0.0003395692328922,0.0003091784601565
O54788_P15314,0.0022321,0.012968,0.015985,0.11149565130472183,0.005679793190211,0.0004261308640707
P61255_Q9CPU2,0.0022985,0.012955,0.015909,0.14825578033924103,0.0004186639562249,0.1705591082572937
Q62264_Q9DAR0,0.0022153,0.012919,0.015957,0.22704625129699707,0.0014036761131137,0.0233534164726734
P62852_Q3UYI6,0.0021771,0.012932,0.015888,0.024756906554102898,0.0003556568990461,0.0038626349996775
Q8VCS6_Q9CQY9,0.0022422,0.01352,0.057753,0.052778057754039764,0.0003622257208917,0.0073691173456609
P15806_P15307,0.19287,0.013246,0.016067,0.19197164475917816,0.0216619465500116,0.0026370312552899
Q3U1F9_Q9CQ91,0.0022499,0.012951,0.016026,0.07786320894956589,0.0003292490437161,0.006192130036652
Q01147_Q9DB40,0.0024768,0.01297,0.015888,0.0022608183789998293,0.000339306454407,0.0045339851640164
P23819_P05627,0.0021937,0.012999,0.015915,0.01593969389796257,0.000868356146384,0.0811661258339881
P35980_Q9D9I1,0.0021941,0.012923,0.015889,0.016255447641015053,0.0025575272738933,0.0144255449995398
Q9JJR7_Q8VCB2,0.0023577,0.013057,0.015993,0.06887569278478622,0.0005737448227591,0.0012513417750597
P47964_Q60825,0.0021944,0.012935,0.015898,0.027688628062605858,0.000230342397117,0.0200282931327819
Q60787_P35922,0.28021,0.01295,0.017859,0.022653881460428238,0.0004184106073807,0.0003776730445679
Q9DCL4_P62270,0.0022246,0.013092,0.016232,0.11080519109964371,0.0008594953687861,0.0007699955604039
Q9CXW2_Q9CPU2,0.0022643,0.022937,0.89207,0.057368822395801544,0.0006764433928765,0.0006011583027429
Q9DC71_Q99LC3,0.0021896,0.55096,0.93849,0.024742916226387024,0.0011342766229063,0.0003434875688981
Q99N84_Q8C456,0.0022311,0.013061,0.015969,0.037128105759620667,0.0012478354619815,0.0010122064268216
Q8BGW0_Q9ERS2,0.002193,0.012927,0.015932,0.2055053859949112,0.001102749723941,0.0240651797503232
P58064_Q61884,0.0021765,0.012924,0.015921,0.23087178170681,0.000467423844384,0.0009981931652873
Q8JZM0_P63325,0.0022164,0.01294,0.016076,0.007388382218778133,0.0003711215977091,0.1103807315230369
Q6P3B9_Q9CPU2,0.0022053,0.035576,0.76309,0.008151905611157417,0.0021593072451651,0.0014188322238624
Q9D1R9_P51945,0.0021927,0.012913,0.015878,0.1608336865901947,0.000219121313421,0.0172046888619661
P01878_Q9DCA2,0.0021834,0.012931,0.015892,0.14442411065101624,0.0004627495072782,0.0002544257440604
Q9D1R9_Q9D9I1,0.0022053,0.012922,0.015914,0.014927496202290058,0.0026929266750812,0.0001211249036714
Q8K3I6_P18181,0.0026539,0.18169,0.11316,0.020630717277526855,0.9958027005195618,0.0013968992279842
Q61039_O70570,0.0022253,0.013592,0.015926,0.06875165551900864,0.0004508810525294,0.0036728545092046
P62270_Q9CSN1,0.0022342,0.012955,0.023128,0.05296739935874939,0.9802381992340088,0.0420324355363845
P28033_Q9D4Q1,0.0026866,0.013338,0.016011,0.007218100596219301,0.0009720668313093,0.000502738635987
O35449_Q62108,0.0045512,0.012983,0.015953,0.06074657291173935,0.010074533522129,0.0006693628965876
Q9CQ91_P67984,0.0023071,0.012937,0.015891,0.04490308836102486,0.0005395639454945,0.0002394920011283
P54818_Q9CZ82,0.002187,0.012916,0.015885,0.009692457504570484,0.0004157748771831,0.0008045891299843
Q9Z2W8_Q59J78,0.0022164,0.012957,0.015947,0.0956534668803215,0.0005431576864793,0.0021117879077792
P23772_P41778,0.042624,0.01304,0.018198,0.010365594178438187,0.0168224703520536,0.0010683769360184
P70326_Q9R0X0,0.0021942,0.012952,0.015944,0.17766353487968445,0.0018321631941944,0.0069362171925604
Q9CWF6_Q9CZ82,0.0021987,0.012916,0.015906,0.028530851006507874,0.0008144769235514,0.0066457451321184
P14869_Q5F201,0.0021693,0.012937,0.015905,0.15518487989902496,0.0153462644666433,0.4354538321495056
B5KM66_Q9D495,0.01588,0.020269,0.01596,0.039548225700855255,0.0443764850497245,0.0058274581097066
Q9CQD0_Q99MJ6,0.0021839,0.012965,0.015935,0.3645002841949463,0.0014971821801736,0.0130027001723647
P17433_Q9R111,0.0021811,0.012993,0.015906,0.019511599093675613,0.000389959081076,0.0007020573248155
O35089_P23818,0.002273,0.01294,0.016046,0.170913428068161,0.0004448529507499,0.0033997499849647
Q7TMF3_P53566,0.0022609,0.012955,0.015903,0.007175451144576073,0.0006906681810505,0.0005199229926802
P52946_P59114,0.0022925,0.013006,0.016127,0.08776384592056274,0.0139386551454663,0.1088117957115173
Q8JZM0_Q9D9V4,0.002207,0.012972,0.01591,0.22669006884098053,0.0007043207297101,0.0006856635445728
Q9CQ39_Q60925,0.0023457,0.012969,0.01589,0.019198566675186157,0.0034416476264595,0.0046406672336161
P47964_Q80X85,0.002254,0.012995,0.015977,0.06431185454130173,0.9986191987991332,0.0003211654548067
Q9CXW2_Q9JIK9,0.0022249,0.012918,0.016077,0.08598268777132034,0.0067182751372456,0.970499873161316
Q04863_Q8BX09,0.0022938,0.013038,0.017951,0.5327507853507996,0.9975854158401488,0.0847937613725662
P35979_Q149S1,0.0021821,0.012944,0.01591,0.04945358261466026,0.0003056014247704,0.0923797488212585
Q9CQZ6_Q9CQ39,0.002242,0.012965,0.015925,0.10721894353628159,0.000431840395322,0.0013043581275269
Q62276_Q9JIA1,0.0021968,0.012986,0.015989,0.02706964686512947,0.0002132678637281,0.0002263279748149
Q8K2G4_O08686,0.0022922,0.012968,0.015989,0.030241360887885094,0.0039539574645459,0.0009782875422388
Q9JLC6_Q91ZD4,0.0024179,0.012968,0.015958,0.031113773584365845,0.0008446181891486,0.0023215960245579
P97372_Q9D3X8,0.0022178,0.012936,0.015916,0.1487841159105301,0.0021317554637789,0.0260313786566257
P35980_Q61207,0.002189,0.012924,0.015907,0.08774377405643463,0.0002265049988636,0.0004819275927729
Q8K3I6_P70175,0.002174,0.012973,0.015967,0.10313521325588226,0.0003277589275967,0.5389595627784729
P14869_P35922,0.0021817,0.012949,0.015926,0.03560077026486397,0.0148658277466893,0.0014454920310527
Q9D131_P52927,0.0022269,0.012947,0.015918,0.015658428892493248,0.001508132671006,0.0004990814486518
P11911_P62830,0.0021835,0.012946,0.015907,0.023469537496566772,0.0002182722237193,0.0053551392629742
O35089_P83882,0.0022809,0.012912,0.015885,0.01733335480093956,0.0002533502702135,0.0015108451480045
Q62192_Q9CQT6,0.0021985,0.012998,0.017259,0.23061490058898926,0.0021977685391902,0.0008018795633688
P62830_Q8BP67,0.0022519,0.014879,0.016091,0.014035568572580814,0.8339537978172302,0.0036200322210788
P16330_Q8JZM6,0.0021955,0.012928,0.015894,0.005564895924180746,0.0012022560695186,0.001008219551295
Q9CR61_Q9DAJ2,0.0022774,0.013007,0.015906,0.04064321517944336,0.0006704633124172,0.0009775231592357
E9Q9F6_Q9CQA5,0.0021896,0.012986,0.015944,0.03006775677204132,0.0012174897128716,0.0002500873233657
A2A825_Q6ZQ88,0.002249,0.01301,0.018093,0.009954358451068401,0.001618874957785,0.0040976577438414
O35228_P03921,0.0022161,0.013179,0.01705,0.19375605881214142,0.0002254846767755,0.0010439334437251
O09111_Q9CQJ8,0.0022293,0.013133,0.016579,0.014101840555667877,0.0134777128696441,0.0006572103593498
G5E8A8_Q9CWY8,0.0022203,0.012941,0.015933,0.19830448925495148,0.0005181550513952,0.0016119014471769
Q9CQP8_P51410,0.0021776,0.012938,0.015884,0.06634131819009781,0.0008365313406102,0.0015159127069637
P35802_Q8BK30,0.0024641,0.013228,0.040343,0.1245843917131424,0.0002918126410804,0.0030445693992078
P47964_Q924H2,0.0021987,0.012944,0.015959,0.06056349352002144,0.0005775616737082,0.0005411044112406
Q9ERS2_Q04207,0.0021913,0.01294,0.015908,0.007764667738229036,0.000488604302518,0.0027083726599812
Q3V0Q6_P18181,0.0021942,0.012996,0.017234,0.025508679449558258,0.0011383356759324,0.0008813721942715
