pair,D-SCRIPT,Topsy-Turvy,TT3D,TUnA,PLM-interact,PLMDA-PPI
P36618_Q9UTE6,0.002176,0.012917,0.015927,0.5265983939170837,0.0014190563233569,0.172303095459938
P87027_Q10951,0.0021787,0.015375,0.015962,0.0414983406662941,0.026063123717904,0.9230733513832092
Q10429_P32434,0.0023967,0.013265,0.019354,0.2528102695941925,0.0076102586463093,0.0966971963644027
Q9URX6_Q9US52,0.002197,0.012914,0.015882,0.23012036085128784,0.000579732703045,0.002017498249188
Q09150_O94620,0.0025764,0.093995,0.059006,0.20851202309131622,0.0651884377002716,0.990691602230072
Q92358_Q9US52,0.0022444,0.012941,0.016024,0.15364503860473633,0.9884867668151855,0.0042130467481911
O60158_P36585,0.0021968,0.012961,0.016014,0.20162433385849,0.0002866310242097,0.9313802123069764
Q10173_P40381,0.0022077,0.012968,0.015892,0.08706746995449066,0.0099928071722388,0.5155276656150818
Q9UT32_O74483,0.0021754,0.012975,0.015896,0.31118741631507874,0.990105926990509,0.9344260692596436
P87159_O60158,0.002323,0.012944,0.016272,0.03716381639242172,0.4846624135971069,0.993374526500702
O13953_O14097,0.0021918,0.012927,0.016041,0.2907777726650238,0.0970841497182846,0.0169547237455844
Q9UST6_Q9Y7M6,0.0022221,0.01294,0.01589,0.20346949994564056,0.0010620411485433,0.00332518434152
O14079_O75001,0.0021895,0.012944,0.016329,0.07036329060792923,0.1782314032316208,0.0016332366503775
P87176_Q10192,0.0021839,0.013114,0.015935,0.2663884460926056,0.0003501285391394,0.3327488899230957
G2TRP5_Q09116,0.002323,0.012966,0.01589,0.10621113330125809,0.0002814632316585,0.6500083804130554
P36625_Q9UUJ4,0.002222,0.012939,0.015912,0.12481240928173065,0.9945382475852966,0.0941970273852348
Q9US59_O13816,0.0021942,0.013008,0.01613,0.3605573773384094,0.0019976925104856,0.9837724566459656
P0CU09_Q92366,0.0021745,0.012922,0.01591,0.2389644831418991,0.0096551636233925,0.1423622369766235
O74955_P36585,0.0022214,0.012964,0.015909,0.284523069858551,0.0002394968178123,0.0004990322631783
Q09196_O74772,0.0022711,0.013041,0.015921,0.4890013039112091,0.0021460319403558,0.975527286529541
O74518_O94238,0.0022032,0.012921,0.015907,0.6489995121955872,0.0004018082108814,0.0013516896869987
O14327_P78761,0.0021929,0.012953,0.015916,0.1223248541355133,0.000254154234426,0.5598780512809753
Q9US59_O14170,0.0022142,0.012972,0.016027,0.4874269366264343,0.980477213859558,0.0029540774412453
