pair,D-SCRIPT,Topsy-Turvy,TT3D,TUnA,PLM-interact,PLMDA-PPI
O82197_Q9STX3,0.0021836,0.01293,0.015904,0.3855014145374298,0.0005016570212319,0.0009425993775948
Q9FLF3_Q9FME3,0.0021945,0.012968,0.015963,0.015139051713049412,0.0006038779974915,0.00054728257237
Q9SU30_Q93VT9,0.0023512,0.012918,0.015894,0.18429511785507202,0.0002542981819715,0.0002788041892927
Q9LDU5_Q9LSL1,0.0050002,0.012977,0.016063,0.06453049927949905,0.6396351456642151,0.916757881641388
P04778_Q8W4D8,0.0022029,0.012948,0.015955,0.12334392964839935,0.0003974793944507,0.0004479665949475
Q38854_Q940U6,0.002249,0.013531,0.19117,0.09599016606807709,0.0005324757075868,0.9194852113723756
Q9SQK3_Q9M0J5,0.0022544,0.013091,0.016325,0.160880446434021,0.009655874222517,0.488130509853363
Q8L6Y4_Q9LPZ1,0.0022234,0.012965,0.016003,0.22454553842544556,0.0015356263611465,0.060396958142519
Q8L746_Q9SEU8,0.0022038,0.013335,0.104,0.1607595980167389,0.004050204064697,0.0010515837930142
Q9C5H9_Q9XII1,0.0022303,0.01292,0.015915,0.04248855262994766,0.0019113299204036,0.0087196519598364
Q9FLV9_P42752,0.0022662,0.01297,0.016028,0.32257354259490967,0.0013083327794447,0.0060173780657351
O04492_Q96330,0.002183,0.012949,0.015973,0.04474762827157974,0.005276977084577,0.8473981618881226
P24100_Q8LF80,0.38284,0.044985,0.17256,0.007196175865828991,0.9985754489898682,0.9563686847686768
O81126_Q9C966,0.0021874,0.012951,0.015903,0.00968837644904852,0.0009038333082571,0.0005247313529253
Q940H6_Q9M7Q4,0.015955,0.013213,0.01654,0.24966280162334442,0.0063627809286117,0.0170103274285793
Q147Q9_Q9C9T3,0.0021993,0.01295,0.015942,0.06138584017753601,0.0012487058993428,0.0960740745067596
O80501_Q42545,0.0022341,0.014807,0.016553,0.03549244999885559,0.0002295353478984,0.000352579227183
A9LNK9_P93313,0.0021815,0.01298,0.015883,0.07355397939682007,0.0008285128278657,0.004065569024533
P35632_O80800,0.0024623,0.012967,0.016057,0.01933583803474903,0.000676482100971,0.0009622483048588
A0A178UTW7_P53665,0.0022663,0.016764,0.47016,0.3686645030975342,0.0002341967774555,0.0004479876952245
Q7XYY2_Q84Y95,0.0021866,0.013137,0.016313,0.15837723016738892,0.0071026673540472,0.0010127427522093
Q9M9S4_Q8GY61,0.0024234,0.013025,0.017044,0.11393216252326965,0.0068115075118839,0.0049853441305458
Q7XJ98_Q9S7U9,0.0022008,0.013027,0.015953,0.7506301999092102,0.0035063328687101,0.0003338963724672
Q9SMN1_Q9SRR8,0.0023137,0.016821,0.84203,0.24921615421772003,0.0050944183021783,0.9893235564231871
Q8GUU3_P29381,0.0022262,0.012965,0.015935,0.0045385174453258514,0.0005950618069618,0.1323271691799163
Q9C9E3_Q9SYG4,0.0024057,0.01293,0.015978,0.07058005034923553,0.1400414407253265,0.0221499074250459
Q39008_Q9LSL1,0.0045341,0.013085,0.016966,0.009864883497357368,0.0089541291818022,0.9474717378616332
Q9SKE2_P49677,0.0021769,0.012919,0.015907,0.025554228574037552,0.0004443545185495,0.0040647448040544
Q9XFH9_Q0WPY0,0.0021857,0.013046,0.01682,0.07796089351177216,0.0006561785703524,0.0042871166951954
Q9STX3_Q6ID77,0.0023055,0.012943,0.015916,0.3387145698070526,0.0008020977256819,0.0064805038273334
A0A178V0F6_Q9M9S4,0.0031905,0.021864,0.19533,0.04454762116074562,0.9988489151000975,0.9897677302360536
P56780_Q9FFY6,0.002433,0.012937,0.015878,0.0031884326599538326,0.0002303970686625,0.0414765998721122
Q8RWZ1_Q8VY16,0.0021863,0.013145,0.016559,0.04909023642539978,0.000819812179543,0.2504115700721741
Q8LBP6_Q9FFY6,0.0022135,0.01293,0.015915,0.017544791102409363,0.0002998861309606,0.003232447663322
Q9FLP9_Q56XM1,0.002197,0.012943,0.015962,0.021814700216054916,0.005230595357716,0.0108441868796944
P51102_Q9FYF8,0.0022019,0.01293,0.015902,0.32794782519340515,0.0097630955278873,0.0023160735145211
O50055_Q42384,0.0022933,0.013147,0.017039,0.2462559938430786,0.0271282810717821,0.0300025045871734
Q38824_Q38831,0.0021909,0.012925,0.016078,0.3853805661201477,0.998528003692627,0.971444308757782
Q8VZ65_Q9LZI6,0.0037517,0.012934,0.016321,0.0017852025339379907,0.0013528050621971,0.0408103950321674
Q8L3X8_Q8VYA5,0.03303,0.013264,0.054878,0.00885069277137518,0.998934805393219,0.9748492240905762
Q8S9I4_Q9SB04,0.0021778,0.012961,0.015961,0.23483729362487793,0.0006010646466165,0.0031156376935541
Q38885_Q93ZM9,0.0023598,0.012948,0.015964,0.05933847278356552,0.0002786150143947,0.000703313620761
P93002_Q147Q9,0.00227,0.013089,0.015941,0.01889374479651451,0.002951446454972,0.0450655035674572
Q9SWG3_Q9SYZ9,0.0026382,0.01293,0.0165,0.0777638629078865,0.9968425035476683,0.050322413444519
Q9SKE2_Q96299,0.0021864,0.013257,0.015953,0.10519251227378845,0.0006303858826868,0.0114277778193354
Q39096_Q9ZUP3,0.0023716,0.012912,0.030125,0.05939510837197304,0.001431847224012,0.0199184268712997
Q9S752_Q9LKR3,0.0021784,0.013093,0.015931,0.21135199069976807,0.000516653060913,0.0036783344112336
Q9SEL5_Q39022,0.0021913,0.012962,0.016107,0.012150912545621395,0.0005529203917831,0.000365716725355
Q9SZI2_Q9FY89,0.002241,0.012968,0.016157,0.043361324816942215,0.0029360414482653,0.0953941568732261
Q39255_Q84JU4,0.0021818,0.012949,0.015922,0.0957786813378334,0.0007507863920181,0.2897505462169647
Q8RWL4_Q9FFY6,0.0022102,0.012917,0.016011,0.261089026927948,0.000655879790429,0.1666559427976608
Q39163_P56753,0.0021887,0.013005,0.015906,0.16120575368404388,0.0002144760946976,0.0001822397025534
Q9SRH6_O04017,0.0021642,0.012964,0.015877,0.5288758277893066,0.0003041417221538,0.0029316160362213
P49677_Q9FGV1,0.0022247,0.012927,0.0161,0.03554698824882507,0.0084718186408281,0.71494460105896
O22827_Q38882,0.0021773,0.012937,0.01589,0.12072524428367615,0.0003653771418612,0.0005993956001475
Q9SIW2_Q9SZJ5,0.0022071,0.013007,0.01604,0.005428250413388014,0.0030316030606627,0.0008529355400241
Q9SKT0_Q9SR08,0.0021897,0.013006,0.015927,0.3344312906265259,0.0003875945403706,0.0031421591993421
C6KIE6_Q9ZWS7,0.0023204,0.013002,0.016086,0.10289246588945389,0.0030352384783327,0.3717261254787445
Q9SKX1_Q84JQ4,0.0021975,0.012977,0.016038,0.2515551447868347,0.000270144897513,0.0375537648797035
