pair,D-SCRIPT,Topsy-Turvy,TT3D,TUnA,PLM-interact,PLMDA-PPI
Q9VQM2_Q960Q9,0.0022164,0.012932,0.015907,0.2914104759693146,0.0002366603002883,0.0001037454348988
Q9V4E0_Q9W402,0.0027808,0.012985,0.018522,0.10884843021631241,0.0003605350502766,0.8347000479698181
Q9W2S2_Q9VX37,0.0021662,0.01294,0.015902,0.42341139912605286,0.0013565187109634,0.0023014389444142
Q9VTC2_Q9V3V9,0.0022023,0.012922,0.015884,0.23254983127117157,0.0018307998543605,0.0017593128141015
Q7JYH3_O46308,0.0022357,0.012937,0.015908,0.04755998030304909,0.0003494379343464,0.0002057994861388
Q9VQK1_P02572,0.0021936,0.012977,0.01591,0.0036167555954307318,0.0599307119846344,0.0099968370050191
Q9VEX9_Q7K738,0.002181,0.012962,0.015881,0.3932507634162903,0.659224808216095,0.2669999599456787
Q7JYH3_Q24560,0.0022114,0.012961,0.015897,0.4056948721408844,0.0002896763035096,0.0027860845439136
Q9VF73_X2J6Q6,0.0023072,0.013006,0.015901,0.5472667813301086,0.9973360896110536,0.0003034431429114
P92208_P48607,0.0022242,0.012962,0.016015,0.017942307516932487,0.0005399894434958,0.0005763958324678
P48149_Q0E9B6,0.0022993,0.01321,0.015968,0.011735416948795319,0.0012570890830829,0.9513121843338012
A8JUS8_P40792,0.0022172,0.014055,0.016043,0.18527546525001526,0.003351816907525,0.0020917023066431
Q9VT51_P02299,0.0022162,0.012983,0.01603,0.02816583588719368,0.0002469487371854,0.000676135008689
Q9VXX0_Q9VPD2,0.0027115,0.012937,0.015892,0.04560840502381325,0.0004838435270357,0.0013512294972315
Q08605_Q7K304,0.0074332,0.012948,0.015973,0.091314896941185,0.0022683760616928,0.1166329532861709
Q9VYW3_P09774,0.0021879,0.012943,0.015875,0.0604146346449852,0.0005514314398169,0.0004856490413658
E1JJI1_A8JR10,0.0023365,0.012937,0.016152,0.011581674218177795,0.0038785804063081,0.0018299216171726
Q9VUW2_Q9V457,0.002171,0.012994,0.015915,0.21933969855308533,0.000299723498756,0.0008097536629065
A8JR10_Q9VVA7,0.0022066,0.012958,0.015903,0.13362570106983185,0.0024539802689105,0.009260524995625
Q86B79_O61602,0.35822,0.061882,0.016433,0.2048918455839157,0.0018446863396093,0.4652658402919769
Q59DX6_P06602,0.0021919,0.013344,0.01595,0.263202428817749,0.0008188775973394,0.0316764675080776
Q7K049_O97111,0.0021847,0.013084,0.015913,0.3263503909111023,0.0024841441772878,0.0006564341601915
P31007_Q9W0G1,0.0030063,0.01297,0.016228,0.006252045277506113,0.0033909706398844,0.0067880377173423
P13096_Q8IQ53,0.0021739,0.014244,0.015894,0.19356077909469604,0.0006458477582782,0.0010187842417508
Q9V629_Q24306,0.0021989,0.012983,0.015949,0.3810232877731323,0.0005631292006,0.0057872356846928
Q9VYG2_Q9VMU0,0.0022162,0.012945,0.015921,0.03900006413459778,0.0009449120261706,0.0002182143798563
Q24547_Q8IML3,0.0028506,0.012967,0.015939,0.06412602961063385,0.000243021902861,0.205265611410141
P08970_Q9U5W9,0.0021807,0.01296,0.015948,0.3171996772289276,0.991102695465088,0.0108819482848048
P41042_Q9VGR1,0.0021705,0.01297,0.015891,0.2351924180984497,0.0002568310592323,0.0007717972039245
Q24246_Q24454,0.0022193,0.012934,0.016238,0.08054709434509277,0.0056199431419372,0.0117738749831914
Q8MS69_Q9W102,0.0021795,0.01294,0.015913,0.29180824756622314,0.0003306693397462,0.0187379457056522
P51023_Q0KI69,0.031667,0.012992,0.016639,0.05570657551288605,0.0638863816857338,0.1244387328624725
A1ZAW5_Q24472,0.0022141,0.012915,0.015974,0.2591520845890045,0.9974377155303956,0.0014616478001698
P12982_Q9VI00,0.0022057,0.01308,0.01618,0.029307754710316658,0.002595080062747,0.1281639486551284
Q26454_P50882,0.0022068,0.01299,0.015913,0.10428637266159058,0.0047176098451018,0.0219684857875108
Q9VBY2_Q9W4B3,0.0021817,0.012958,0.015918,0.09634731709957123,0.0006230269209481,0.0007476893952116
Q01071_Q24276,0.0023549,0.013016,0.015924,0.10046292841434479,0.003136123297736,0.0008031677571125
Q7KLV9_Q7KSP5,0.0021841,0.013257,0.016137,0.01904001273214817,0.0002829834993463,0.0054462384432554
Q8IMX1_Q9W483,0.0021769,0.012939,0.015909,0.05987587198615074,0.0050935680046677,0.0051562464796006
O44437_Q01069,0.0022371,0.013027,0.015895,0.03560003265738487,0.0002511355560272,0.0005885395221412
Q9VRN6_P53034,0.0021926,0.012946,0.015912,0.3043597936630249,0.0004646072629839,0.0017040644306689
Q9XZ56_O45030,0.0022985,0.012921,0.016133,0.002510285936295986,0.0006673589814454,0.000398459349526
Q7K2G1_Q9V431,0.0022184,0.013095,0.016083,0.09168986976146698,0.003848482389003,0.0228150766342878
Q9W2A5_Q9VWD5,0.0021951,0.013053,0.016108,0.6965015530586243,0.010872627608478,0.0020334280561655
Q9VGF9_P20009,0.0065802,0.013297,0.021242,0.008089596405625343,0.0065061249770224,0.0031311768107116
Q9VZ01_P38979,0.0021845,0.012946,0.015882,0.5281642079353333,0.0091458559036254,0.5865757465362549
X2JEH3_P39768,0.70911,0.013549,0.021568,0.008142635226249695,0.9975683093070984,0.9780184626579284
Q9VNE4_Q9VR58,0.022109,0.013344,0.01592,0.23314690589904785,0.2758527398109436,0.1794896721839904
Q8T0S6_Q9VXX8,0.0021859,0.012941,0.016148,0.46268782019615173,0.0007530319853685,0.0002373592287767
Q0E9B7_Q9V3V9,0.0021925,0.012913,0.01592,0.0315110981464386,0.9900164008140564,0.0139901088550686
P52486_Q9VZV5,0.02648,0.013223,0.016045,0.028986990451812744,0.996960461139679,0.9369029402732848
O96863_Q9VE52,0.0021866,0.012924,0.015911,0.06567604839801788,0.0011521402047947,0.0071383975446224
E1JHS8_A1ZAC4,0.29235,0.03978,0.016426,0.0940224826335907,0.0454326681792736,0.0488069392740726
Q9VBH8_P54359,0.0021809,0.013545,0.034261,0.26841866970062256,0.0003235166659578,0.0003706200513988
P22711_Q9VTB4,0.002217,0.012956,0.015884,0.028783399611711502,0.0007869336986914,0.0002618385769892
P91943_Q9VVW2,0.0054838,0.013046,0.015987,0.27136820554733276,0.001549651264213,0.0002490163606125
Q9W4S7_Q9VBC5,0.0030792,0.012963,0.015957,0.4047350287437439,0.0010175708448514,0.0005357677582651
O18334_Q9W4R3,0.0022311,0.014097,0.016018,0.2977936267852783,0.0008899557287804,0.0006079777376726
P18929_Q9VX94,0.0021999,0.012954,0.015881,0.3980182111263275,0.0002540510031394,0.000613538257312
Q9VGY3_P10987,0.0022129,0.012959,0.015925,0.4026327133178711,0.0074700699187815,0.0149922128766775
