pair,D-SCRIPT,Topsy-Turvy,TT3D,TUnA,PLM-interact,PLMDA-PPI
Q8R2L5_Q9Z307,0.0022178,0.012993,0.018308,0.12265753746032715,0.0002638501464389,0.0005688181845471
P29341_P63001,0.010269,0.020814,0.033247,0.12123926728963852,0.0004152607580181,0.0115734348073601
P62858_Q9D4K5,0.0022179,0.012934,0.015875,0.011455656029284,0.000934861425776,0.0084502566605806
Q99J83_Q61666,0.002206,0.012925,0.015897,0.02754819579422474,0.0014244274934753,0.1057967394590377
Q60925_Q9WTM5,0.002184,0.013047,0.0159,0.004311313387006521,0.0002640545135363,0.0056255981326103
O55234_Q9D4K7,0.0022045,0.012933,0.015979,0.007123502437025309,0.0006344023277051,0.0004886827664449
Q6P3B9_P48772,0.0022296,0.018683,0.064848,0.12318053096532822,0.0015935191186144,0.0006277002394199
Q9CY16_Q7TMF3,0.002293,0.013147,0.015903,0.012736071832478046,0.0014345536474138,0.0013617706717923
P49817_P97351,0.002194,0.012921,0.015977,0.009482295252382755,0.0002546082250773,0.0034264631103724
P62751_P31311,0.0021965,0.013098,0.015914,0.019672086462378502,0.0008799713687039,0.000963625498116
Q9EPU5_Q920N1,0.0022854,0.01377,0.017698,0.12196627259254456,0.0008056723745539,0.0002096126845572
Q8VEK3_P27512,0.0021936,0.012995,0.015954,0.06851834803819656,0.0003868737549055,0.0003413968952372
P23611_O54828,0.0024394,0.012943,0.016173,0.02377062290906906,0.0008551188511773,0.0477631613612175
P03925_Q9D4K7,0.0023051,0.012922,0.015883,0.06291987001895905,0.000323910760926,0.0003701737150549
P06537_P27467,0.0021729,0.012996,0.016067,0.0015424892771989107,0.0009475802653469,0.0002943969157058
P31938_Q60825,0.0021841,0.012992,0.016093,0.0045089577324688435,0.0002686287916731,0.0183224193751811
Q9CQZ5_P01942,0.0022382,0.01293,0.016631,0.09295465797185898,0.0004845598596148,0.0013151346938684
A0A5E3_A0A0M3KL48,0.88034,0.73021,0.09196,0.021469201892614365,0.0043268632143735,0.0184880420565605
Q00322_O08603,0.0022027,0.013079,0.016167,0.17084328830242157,0.0004775271227117,0.0004338324069976
Q9CQP8_O88509,0.0032085,0.012954,0.016142,0.16194429993629456,0.0090746683999896,0.0044010444544255
Q61699_Q80WQ6,0.0022099,0.012975,0.015983,0.034164730459451675,0.0089755747467279,0.0037087290547788
P49718_P53566,0.0028869,0.013203,0.01598,0.06770683825016022,0.0006246200064197,0.3299507200717926
P14206_Q9R1P3,0.0021751,0.012937,0.016163,0.2929266393184662,0.000212773491512,0.0003646107506938
Q80ZV0_Q60765,0.0022295,0.013023,0.015915,0.036083802580833435,0.000835723534692,0.0031686045695096
Q9JIH2_Q3U1F9,0.0022247,0.013008,0.016347,0.0031170258298516273,0.0002549592463765,0.0028425245545804
P14432_Q9D125,0.0021849,0.012955,0.015893,0.11205395311117172,0.0006915329722687,0.0004010168777313
P48346_P06804,0.002206,0.012945,0.016071,0.19350917637348175,0.0010362752946093,0.0973950922489166
Q9WTL8_Q9QUN3,0.028648,0.012998,0.015997,0.08264314383268356,0.0009696013876236,0.1828533858060836
Q9EQ14_P62878,0.0022008,0.013032,0.015873,0.05776606872677803,0.000260493485257,0.0005048520397394
P29341_P05627,0.85073,0.013052,0.016272,0.4651270806789398,0.0012405194574967,0.2556318342685699
P68372_Q9D0B8,0.0021816,0.013227,0.016087,0.47351109981536865,0.0085673006251454,0.2831430733203888
Q9Z0H7_Q60749,0.0024161,0.013058,0.016008,0.01972658559679985,0.0008222311735153,0.0017001290107145
G5E8A8_P54841,0.11946,0.1811,0.015969,0.04851531237363815,0.0146673824638128,0.0085307732224464
P54763_Q9WTM5,0.0022363,0.013002,0.016155,0.09198862314224243,0.0003376478562131,0.0006326371221803
P19536_P19783,0.009202,0.076374,0.76591,0.10055124014616013,0.001283177640289,0.5966582894325256
P83882_P62812,0.0021956,0.012931,0.015925,0.06023197993636131,0.000232761609368,0.0004505684773903
P01108_Q5SSZ7,0.078307,0.013125,0.016255,0.15737448632717133,0.0005781074287369,0.3534668385982513
P58771_P70343,0.0022481,0.013135,0.015885,0.4686148464679718,0.0178135558962821,0.0006623507943004
P97792_Q922Y1,0.0021841,0.012977,0.015888,0.009111647494137287,0.0004025347006972,0.0004212677595205
Q8BGU5_Q61079,0.028573,0.013019,0.016235,0.14250294864177704,0.0008230651728808,0.2503708302974701
P58771_P09631,0.0077758,0.013327,0.015912,0.016513766720891,0.0126842651516199,0.0028793418314307
O70174_Q9D032,0.0021885,0.013191,0.015913,0.02697553113102913,0.0005707251839339,0.0235246289521455
P30051_Q8R4I7,0.0022296,0.012943,0.015998,0.42591625452041626,0.0002915817894972,0.0198630131781101
P04224_Q9JIY5,0.0021939,0.021187,0.017808,0.13380418717861176,0.0003816812532022,0.0044628554023802
Q61423_O88509,0.0021884,0.012997,0.016238,0.018184732645750046,0.0013373659458011,0.0743941441178321
P97333_Q9D8E6,0.0021996,0.01299,0.015905,0.009378638118505478,0.0004996939096599,0.0004768861981574
P36898_Q9CPU2,0.0024311,0.01314,0.048137,0.25230515003204346,0.0002715908340178,0.0002770788560155
O88566_Q99NC0,0.06623,0.012959,0.016794,0.3837052881717682,0.0042494828812778,0.0037570518907159
P22315_P28574,0.0021852,0.01352,0.01592,0.5034858584403992,0.0002701593330129,0.0047584190033376
Q99JY8_P61967,0.0021804,0.013091,0.015884,0.08597684651613235,0.000322346430039,0.0087647968903183
Q60825_Q99MJ6,0.0021844,0.012946,0.017329,0.28594332933425903,0.0005136731779202,0.0626513883471489
Q9CQY1_Q91Y86,0.0021794,0.012982,0.016216,0.15032988786697388,0.0051943403668701,0.0714987516403198
O88786_Q91ZE9,0.0022942,0.012996,0.028253,0.03729809448122978,0.0012342933332547,0.0058074444532394
Q8CFI0_Q80Z64,0.0031805,0.012978,0.017032,0.009112426079809666,0.0015463259769603,0.0559902153909206
Q02111_P70217,0.0023038,0.013079,0.03472,0.0321093387901783,0.0143671073019504,0.0096291359513998
A2NTY6_Q9CXY6,0.0021976,0.012993,0.022681,0.04455546662211418,0.0006266318378038,0.001048699603416
Q9D9U9_P70297,0.0022893,0.01309,0.016016,0.0022358286660164595,0.0006105900392867,0.0068423813208937
P98083_Q60631,0.0022825,0.013625,0.022171,0.032818734645843506,0.9980732202529908,0.1648163944482803
Q9JIQ3_Q62158,0.0021942,0.013005,0.015941,0.03021981194615364,0.000588362570852,0.0008374185999855
O88621_P01864,0.0022015,0.013871,0.016257,0.05587940290570259,0.0018384454306215,0.0051862527616322
Q60795_P70343,0.0021951,0.012996,0.016005,0.01460750587284565,0.0251924619078636,0.0113540310412645
Q8CDT5_Q9CR88,0.0022135,0.013662,0.015937,0.05009041726589203,0.0006185990059748,0.0013793468242511
Q8CF89_Q04735,0.0023968,0.013047,0.01693,0.18057149648666382,0.01213641744107,0.7732589840888977
Q80TG9_E9Q9W7,0.051302,0.012994,0.016298,0.02655765414237976,0.0073309391736984,0.9578006863594056
P59114_Q8BKX1,0.0025492,0.012945,0.016034,0.25326767563819885,0.0009466913179494,0.0168385338038206
Q69ZK9_P51667,0.0022031,0.013334,0.01611,0.0626758560538292,0.024867633357644,0.0009996283333748
Q9JM05_O89100,0.0021987,0.012993,0.016115,0.09054537862539291,0.0009795317891985,0.1414093077182769
P23798_Q9DAG4,0.0021976,0.01297,0.015999,0.09189523011445999,0.0008188440697267,0.0012971509713679
Q61457_Q8BJZ4,0.002232,0.012947,0.016404,0.020933497697114944,0.0002459960815031,0.0060928654856979
Q00609_P10148,0.0022643,0.45519,0.38123,0.22776693105697632,0.9652040004730223,0.149961307644844
Q8C437_P01808,0.0022216,0.014433,0.016029,0.10906780511140823,0.0071722487919032,0.0158966481685638
P25233_P19785,0.0025016,0.012968,0.015963,0.09982604533433914,0.0051780841313302,0.0020160626154392
P49615_P61809,0.0022206,0.013044,0.027561,0.06191594526171684,0.0037878192961215,0.9689298272132874
P04228_Q9DAK2,0.0021875,0.013232,0.015916,0.42259708046913147,0.0004372043767943,0.0004316959239076
Q6P8X9_P97864,0.0021875,0.012963,0.016013,0.01051299273967743,0.024242365732789,0.0080662360414862
Q9WVE0_P09022,0.0022296,0.012983,0.015949,0.018118293955922127,0.0013012468116357,0.0030660948250442
Q9R1P0_P70662,0.0021737,0.012927,0.015884,0.33884093165397644,0.0004793794942088,0.0044513512402772
Q9R207_Q63932,0.0024188,0.012967,0.016371,0.014977741986513138,0.0006279202061705,0.4589931666851043
P62717_P86048,0.0021924,0.012917,0.015911,0.17533743381500244,0.0022415078710764,0.831072986125946
P01837_P01863,0.29816,0.65774,0.036399,0.12035541981458664,0.0038001216016709,0.2362428605556488
Q3TCJ1_P53986,0.0022114,0.013171,0.015917,0.028397327288985252,0.0003537419834174,0.0007247317698784
Q9R109_Q9D0B8,0.0021727,0.012919,0.015895,0.22879301011562347,0.0037417374551296,0.0028997377958148
P49138_O70570,0.0022053,0.012984,0.015971,0.07299699634313583,0.0008784285746514,0.0012668678537011
Q9Z1P6_P28574,0.0023655,0.01308,0.01588,0.07373276352882385,0.0005510374321602,0.0008324093651026
P48437_O08665,0.0022062,0.013054,0.016,0.10255097597837448,0.0009864720050245,0.0005254516145214
P61092_P97302,0.0021858,0.013047,0.015978,0.18804308772087097,0.0008867941796779,0.0143848303705453
Q9DAU1_Q9EQ14,0.0023712,0.74118,0.23522,0.18266089260578156,0.0038485208060592,0.0298036746680736
P33242_Q04887,0.14567,0.013143,0.016087,0.026550037786364555,0.0011605771724134,0.6323224902153015
Q60953_Q9D8T2,0.0044462,0.013055,0.017196,0.0099843954667449,0.0032482245005667,0.0675120502710342
Q61733_Q06507,0.0026017,0.013194,0.016165,0.42583391070365906,0.0043368581682443,0.0007875410374253
P97784_Q9D6K5,0.00219,0.012955,0.016218,0.22956348955631256,0.0005038979579694,0.0079991715028882
O88621_Q60631,0.0022553,0.013076,0.018286,0.21385017037391663,0.0028801946900784,0.004660605918616
P17433_Q9JM73,0.0025612,0.013012,0.01606,0.08850471675395966,0.0057287169620394,0.0096757253631949
P01801_O88786,0.002201,0.026914,0.039793,0.08898381888866425,0.0143771255388855,0.0423855520784854
Q924X6_Q811D0,0.0021994,0.012995,0.015996,0.12938585877418518,0.0017501459224149,0.007533170748502
P61080_P42208,0.0021863,0.014758,0.015891,0.22808687388896942,0.0003065778582822,0.024471815675497
Q9DBL9_P30282,0.0021811,0.012942,0.016103,0.02438763901591301,0.002685046987608,0.0024725103285163
Q9R1P3_Q63844,0.00218,0.012963,0.01595,0.035838037729263306,0.0002439149247948,0.0002377166529186
O35526_Q9ES57,0.002283,0.013033,0.016668,0.04042016342282295,0.0005094271618872,0.0006591731216758
P29452_Q91V08,0.0022006,0.012977,0.016278,0.17276668548583984,0.0008901575929485,0.0282764118164777
Q9WVG6_O09061,0.0022162,0.012955,0.016028,0.15390253067016602,0.0004732467641588,0.0950636714696884
P97454_Q9DCA2,0.0022204,0.012971,0.015901,0.0026476483326405287,0.0006949777598492,0.0003261539386585
P13504_P16297,0.0027517,0.030031,0.077712,0.10835068672895432,0.0007033183355815,0.0418283604085445
Q8R3R8_Q99JW4,0.0021974,0.013028,0.016324,0.1782284379005432,0.0016944232629612,0.0262091550976037
P70188_Q921D4,0.0021879,0.013029,0.016755,0.15729787945747375,0.0251130275428295,0.0139087932184338
Q8R2K4_P04351,0.002203,0.014501,0.016277,0.13839386403560638,0.0005889269523322,0.0004563326656352
Q9D8E6_Q99N87,0.0021926,0.01321,0.017114,0.41389724612236023,0.0092211458832025,0.614812970161438
P83882_Q9CXW4,0.0023951,0.013023,0.016333,0.21425430476665497,0.9982092380523682,0.965428590774536
Q61102_Q65ZC0,0.002344,0.024475,0.098878,0.14281751215457916,0.0014000155497342,0.0084379827603697
O88447_D3Z338,0.0021938,0.023687,0.01592,0.4320674240589142,0.0006622012006118,0.0005183963803574
P61372_P05214,0.0021828,0.013214,0.016486,0.0038238007109612226,0.0021161513868719,0.0865083485841751
Q99NC0_Q91VN6,0.0022466,0.012984,0.016059,0.14874765276908875,0.0166116524487733,0.0426128916442394
P47754_P09021,0.0021832,0.01298,0.015897,0.015976376831531525,0.0006125382496975,0.0014618615387007
Q99JX3_Q9R1P1,0.0021721,0.012933,0.015897,0.03770490735769272,0.0002497246605344,0.0003477425780147
O55142_Q9D8B7,0.0021952,0.012953,0.015884,0.04274161532521248,0.0002469911414664,0.0002431428729323
Q811G0_Q3U1F9,0.17863,0.01297,0.023182,0.007504442241042852,0.0007650761399418,0.0052941399626433
Q149S1_Q9R109,0.0021965,0.012939,0.015952,0.18567019701004028,0.0055885785259306,0.0029897612985223
Q8CFI0_Q3UYI6,0.0021935,0.012966,0.016679,0.04339700564742088,0.0007605923456139,0.0053148460574448
Q8R2X8_P49722,0.0021688,0.012937,0.015896,0.07103613018989563,0.0002828570140991,0.0007452960126101
Q8VCW4_P29754,0.0023414,0.033745,0.46392,0.07509511709213257,0.0007670779014006,0.0028934828005731
P50752_P35980,0.0027025,0.013015,0.018678,0.21938925981521606,0.000449902145192,0.3747463226318359
P05214_P83917,0.0021853,0.012974,0.016316,0.058920759707689285,0.0128695620223879,0.1444102078676223
Q00422_Q64237,0.0022046,0.012937,0.015937,0.5232180953025818,0.0006062219035811,0.0002103952137986
Q148A4_O88508,0.0022851,0.013016,0.016048,0.20991843938827515,0.0046893367543816,0.0024022874422371
Q6PAT0_A0A2R8VHF7,0.0021889,0.01293,0.015999,0.24418765306472778,0.0019476097077131,0.0004896923201158
Q06890_Q62108,0.0021961,0.012969,0.015949,0.008460050448775291,0.001137109240517,0.0006106283981353
Q9CQ91_P19221,0.0024554,0.013043,0.015934,0.3263111412525177,0.0004874023143202,0.0003486888599582
P70460_P52189,0.00246,0.013005,0.016032,0.05209333822131157,0.0004422987403813,0.1014057844877243
A2NUE8_Q9WVI9,0.0021956,0.013047,0.01632,0.6100956797599792,0.0108750313520431,0.0026203652378171
Q9QYH6_O88703,0.0034934,0.013113,0.015963,0.5064002871513367,0.0006444427999667,0.0103225680068135
Q3TCJ1_Q9D485,0.0021923,0.012982,0.016071,0.0252832118421793,0.0040128882974386,0.0066731432452797
P07901_Q8CIB5,0.0021745,0.012943,0.016012,0.009273440577089787,0.000941009784583,0.0748400837182998
P61965_Q5SW45,0.0022028,0.013467,0.016088,0.04022916778922081,0.0379826314747333,0.0984360575675964
P97310_Q99P58,0.002392,0.01415,0.037912,0.0841980129480362,0.0005844674888066,0.0011504259891808
P98084_P58064,0.0021894,0.01295,0.015944,0.45607441663742065,0.000555761216674,0.002232267986983
Q60680_Q62424,0.0022537,0.013068,0.018344,0.017944348976016045,0.0046141534112393,0.0048353122547268
Q9R207_Q9CQE3,0.002178,0.013117,0.015984,0.18226942420005798,0.0065086837857961,0.000229397744988
Q9JIH2_Q9D3X8,0.0021867,0.012938,0.016192,0.06884198635816574,0.0007198773091658,0.0082480981945991
Q9EPU5_P62082,0.0021858,0.012939,0.015918,0.26411035656929016,0.0004786196805071,0.0003440817818045
P35329_Q9R1P1,0.0021788,0.012957,0.015885,0.01441581267863512,0.0008433535695075,0.0001088790450012
P15307_P25799,0.018982,0.013087,0.027807,0.004719983786344528,0.9986966252326964,0.8981025218963623
P07901_P12815,0.0021822,0.013149,0.015902,0.03237322345376015,0.0008773424779064,0.0213001910597085
Q9DAJ2_Q920D3,0.18331,0.027461,0.015936,0.21626509726047516,0.9974815249443054,0.0025520652998238
Q9D125_P09022,0.0021839,0.012942,0.015895,0.005859777331352234,0.0004102428792975,0.0004382022016216
P01849_P04919,0.002295,0.012932,0.01597,0.042050283402204514,0.0003442360030021,0.0007411501719616
Q9WV86_P14685,0.0022779,0.015637,0.016071,0.0927639976143837,0.0032776633743196,0.6884832978248596
Q63932_Q99N57,0.0035189,0.013399,0.18113,0.4886626601219177,0.997994899749756,0.9654360413551332
P59114_O88508,0.0022161,0.013007,0.016129,0.0047744205221533775,0.0071611371822655,0.368142157793045
P61809_Q62179,0.002501,0.013048,0.016374,0.184214785695076,0.0003174546000082,0.0003069495724048
V9GXK1_Q03157,0.0022279,0.013006,0.018982,0.006449021864682436,0.0005600241711363,0.0003051530511584
P02088_P01864,0.0021879,0.013757,0.015864,0.46383222937583923,0.0015754926716908,0.0010926666436716
Q80V24_Q9JJX7,0.00219,0.012995,0.016376,0.028773203492164612,0.0098954010754823,0.4218761026859283
P48281_Q9CWH4,0.0022097,0.012961,0.017309,0.17142292857170105,0.0006634857272729,0.0150993531569838
O35963_P97814,0.0035449,0.013203,0.016564,0.47360336780548096,0.998142957687378,0.2308975607156753
P0DN34_O88384,0.0023513,0.01299,0.015913,0.173452228307724,0.0003387287433724,0.0004207279998809
Q61391_Q9R1P3,0.0022026,0.012954,0.015931,0.03784990310668945,0.0002777366025839,0.0001529471774119
O35730_Q8CCI5,0.0021927,0.012994,0.081566,0.0021796589717268944,0.0003491399111226,0.0192013196647167
A2A825_Q922G7,0.0022026,0.012957,0.016004,0.017125161364674568,0.0026038575451821,0.0023697814904153
Q8VCD5_Q9D8C6,0.002194,0.012932,0.016079,0.15916882455348969,0.9986642599105836,0.0058292257599532
Q9JHF9_Q9QUK6,0.002213,0.016402,0.022472,0.021679773926734924,0.0116016482934355,0.1206929460167884
O89100_P70218,0.0023443,0.013303,0.099807,0.009752070531249046,0.6298810243606567,0.7109435796737671
P06339_Q9D3X8,0.0021942,0.012956,0.015882,0.005245544947683811,0.0012668612180277,0.0005511311464942
O70263_Q8C1Z7,0.0021882,0.01371,0.016026,0.345525860786438,0.0026764697395265,0.0958559736609458
Q9Z0H7_P01898,0.0021774,0.012975,0.016042,0.10751283168792725,0.0010378274600952,0.0010121954837813
P49615_P01646,0.004307,0.021905,0.016435,0.06578908115625381,0.0013530632713809,0.0019437881419435
Q9CSN1_P01820,0.0021822,0.013042,0.015881,0.2339671552181244,0.0009074679692275,0.0008389113936573
Q9CPX7_Q9ES46,0.0021753,0.012925,0.015915,0.28511369228363037,0.0005043294513598,0.0009701885865069
