pair,D-SCRIPT,Topsy-Turvy,TT3D,TUnA,PLM-interact,PLMDA-PPI
P41005_Q09760,0.0023232,0.012968,0.015963,0.038972705602645874,0.00763342063874,0.0620872266590595
O13826_O43036,0.0021896,0.012926,0.015898,0.09611837565898895,0.0019018142484128,0.0010411653202027
P10815_Q10113,0.50244,0.012954,0.016035,0.34571611881256104,0.0043880157172679,0.4537154138088226
Q09177_O74499,0.0021938,0.012964,0.015897,0.5281526446342468,0.0002852099423762,0.0751204416155815
O94620_O94263,0.0022097,0.013206,0.015958,0.1481085866689682,0.0372354686260223,0.0560389347374439
O14329_O94616,0.002293,0.012987,0.015912,0.15489482879638672,0.0002580492291599,0.0011735388543456
O13672_O74433,0.0022185,0.012918,0.015909,0.1555033028125763,0.0006609783158637,0.0126518029719591
O13936_O14399,0.0021896,0.013543,0.015937,0.19453412294387817,0.0003672648454084,0.000590595009271
P40848_P87324,0.0022072,0.012927,0.01601,0.2994832396507263,0.3421677052974701,0.2256877273321151
O74533_P36582,0.0021821,0.012945,0.015928,0.0945214033126831,0.000449648767244,0.0013064257800579
P40984_O13712,0.0022002,0.012968,0.015902,0.0024423119612038136,0.0005224114865995,0.0014076955849304
O74184_O60129,0.0022381,0.013404,0.017559,0.08201851695775986,0.0404453165829181,0.0015958430012688
O74555_P27584,0.0021999,0.013233,0.016117,0.01878158375620842,0.0008802874363027,0.0005604529287666
O59800_O74772,0.0021856,0.012924,0.017851,0.10255437344312668,0.0212702546268701,0.0135483397170901
P41887_Q10432,0.0021743,0.012988,0.016047,0.12648752331733704,0.0008437149226665,0.0178377572447061
P40377_Q9P7E0,0.0022671,0.01294,0.015907,0.16257528960704803,0.0006921942695043,0.0004444655205588
O14198_Q10317,0.0022172,0.013358,0.016574,0.36134710907936096,0.9988746047019958,0.7507575154304504
P0CU09_Q09808,0.0021971,0.012915,0.015909,0.32439684867858887,0.0259041283279657,0.4754824638366699
Q9USG6_P78789,0.0021853,0.01292,0.015923,0.16570082306861877,0.0002746653917711,0.001718497602269
P05733_Q9UT46,0.0021833,0.012955,0.015989,0.1416434943675995,0.0030219419859349,0.0005338080809451
P87231_Q09170,0.0022817,0.01296,0.016021,0.004066528752446175,0.0008325156522914,0.9754388332366944
P48011_Q9P7P1,0.0022324,0.012988,0.016387,0.004856205079704523,0.0003992972197011,0.0010032624704763
O74533_Q9HDY7,0.0021923,0.012923,0.015918,0.31887513399124146,0.0023050922900438,0.0033182273618876
Q10173_Q9Y7R3,0.0022288,0.01303,0.015898,0.407770037651062,0.0003700816014315,0.1348189562559127
O60150_C6Y4D0,0.0021752,0.012936,0.015968,0.08529461175203323,0.0013826142530888,0.000537498970516
O94534_O43080,0.0021758,0.013002,0.015882,0.1294107586145401,0.0107921240851283,0.0026774944271892
