pair,D-SCRIPT,Topsy-Turvy,TT3D,TUnA,PLM-interact,PLMDA-PPI
Q9ZVD0_P93026,0.0021913,0.012951,0.015944,0.04537056386470795,0.0005311199929565,0.9761190414428712
Q8RXN4_O81098,0.002191,0.012952,0.015941,0.5151752233505249,0.0004959913203492,0.0021507546771317
Q9SZJ5_Q39081,0.0022628,0.013036,0.015913,0.053703662008047104,0.0024801003746688,0.1545976102352142
O81127_Q7XJK8,0.0062141,0.013078,0.01593,0.035265907645225525,0.0011822573142126,0.0175691451877355
Q7XJK8_Q9LZM8,0.31177,0.012937,0.016035,0.11971014738082886,0.0141377709805965,0.0143676623702049
Q8RYC6_Q9FGV1,0.0021824,0.012918,0.015935,0.09243429452180862,0.0120332743972539,0.0006725182174704
Q01525_P29385,0.0022052,0.013167,0.016026,0.018856143578886986,0.0578088425099849,0.0001363673800369
A8MSB8_Q9SUI4,0.0064488,0.014224,0.019481,0.2219434678554535,0.0017016656929627,0.0098976576700806
Q8GW31_Q9SUI4,0.0023294,0.013028,0.016184,0.06729559600353241,0.0002383148384978,0.006626724731177
Q8VZT9_Q9SCP9,0.0021994,0.012928,0.015873,0.15708068013191223,0.0003282936813775,0.8004275560379028
Q9LMT0_Q8S8I2,0.0021916,0.012953,0.016048,0.09204412251710892,0.0086573949083685,0.0075021511875092
P13114_Q9LZI6,0.0021818,0.013001,0.015935,0.01015282329171896,0.0005861197714693,0.053221583366394
Q9SQK3_Q9SV55,0.002282,0.013113,0.016161,0.05624277517199516,0.0004871744895353,0.0062916968017816
Q8L9T7_P42804,0.0022217,0.013083,0.015891,0.06129591539502144,0.0004067194531671,0.0046453261747956
A1A6J5_Q8LBC0,0.0022314,0.012945,0.015944,0.11882632225751877,0.0007799793384037,0.0011342149227857
B9DFT4_O80642,0.0023016,0.013166,0.015965,0.24527232348918915,0.0018281178781762,0.0002803138340823
Q940G3_Q9LFS4,0.0021916,0.012938,0.015917,0.3103424608707428,0.0003130742406938,0.0030698268674314
Q9MBA2_Q39025,0.0022394,0.013043,0.016304,0.29348304867744446,0.0004054350138176,0.0218013375997543
Q8GYD2_Q84JK2,0.002446,0.012961,0.015913,0.0032995620276778936,0.0004041051724925,0.5545914173126221
Q9FME3_O65312,0.0053821,0.012922,0.016074,0.4313705563545227,0.0016278582625091,0.0204832125455141
Q8GYN5_O23310,0.0023153,0.01296,0.015965,0.04333185777068138,0.0012944530462846,0.000476929184515
Q06AN9_Q944L5,0.0022605,0.013369,0.0219,0.23937776684761047,0.021836057305336,0.0076689445413649
Q9ZSA2_Q8S8I4,0.0022045,0.013154,0.015961,0.012276964262127876,0.0012009169440716,0.0006896838312968
Q8LGE7_Q944L3,0.0021788,0.012976,0.01588,0.10819610953330994,0.0027362639084458,0.0004696786636486
Q9LEU7_A0A384KNJ4,0.0021955,0.012962,0.015957,0.031963497400283813,0.0002403099497314,0.1047746464610099
Q9SUR9_Q9LNJ5,0.0021941,0.013132,0.016228,0.013754444196820259,0.0014685100177302,0.0023712555412203
Q8L9Y3_Q3EAI1,0.24319,0.012989,0.016733,0.118534155189991,0.0071434583514928,0.0005203076871111
Q8LPR9_Q9SGP6,0.0022305,0.012981,0.087383,0.4306104779243469,0.0416352339088916,0.955432116985321
Q9SCY5_Q9SKE2,0.002183,0.012933,0.015957,0.09057286381721497,0.0003347406745888,0.9760708808898926
A0A384KWX6_Q9FDX9,0.0022149,0.012932,0.015922,0.1901944875717163,0.0004028501280117,0.0139050409197807
A1A6J5_P93002,0.0022445,0.013079,0.015911,0.04107510298490524,0.0003467236820142,0.0065775495022535
Q9S831_Q8S8I4,0.0023983,0.096654,0.18865,0.06503329426050186,0.0003792101051658,0.0001528067950857
Q9FKK2_Q8GWD7,0.002215,0.01293,0.015939,0.03068000264465809,0.008290053345263,0.0081613808870315
Q9FJW5_P93654,0.0021856,0.013574,0.01591,0.04691214859485626,0.000908636371605,0.000492732739076
Q9SGH4_Q0PCS3,0.0021813,0.012943,0.015896,0.49710845947265625,0.0025474715512245,0.3148549497127533
Q9ZUU0_Q9C5H9,0.0024281,0.012944,0.015933,0.1842959076166153,0.0154524855315685,0.0009844299638643
Q6DBA5_Q5BPS3,0.0021787,0.012967,0.015967,0.3247644901275635,0.0002556771214585,0.0003089916717726
P49678_P93830,0.0024108,0.014123,0.016854,0.023424623534083366,0.998601257801056,0.0020478726364672
Q6NLH0_Q9C518,0.0022129,0.012974,0.015933,0.09544077515602112,0.000698362768162,0.0037791081704199
Q9FLM8_Q9FGS5,0.0026703,0.013035,0.015877,0.09121181815862656,0.0002179023140342,0.0003016372502315
Q8W4I5_Q8L9Y3,0.0024343,0.012947,0.016434,0.04634178802371025,0.0128389997407794,0.0005780234932899
O64682_Q38822,0.0021893,0.012955,0.017097,0.16556142270565033,0.123710848391056,0.0009223598754033
O23629_P56766,0.002451,0.013451,0.016115,0.07336854934692383,0.000322162406519,0.0015280763618648
F4IXJ7_Q94JM3,0.0033685,0.012924,0.016007,0.06383354961872101,0.998649537563324,0.9833337664604188
Q9LN09_A0A178UFM8,0.0021775,0.012952,0.016007,0.15192796289920807,0.0002176994312321,0.0124589428305625
Q8GXJ4_Q39011,0.0023015,0.012996,0.016265,0.12782686948776245,0.0021377829834818,0.0037512094713747
Q9FJH7_F4I0K2,0.0021902,0.01304,0.016071,0.14231763780117035,0.0005427863216027,0.0602440237998962
P41151_Q8GYJ3,0.069848,0.01297,0.016121,0.030788708478212357,0.9967209696769714,0.001128853065893
Q94C12_Q56XM9,0.0022307,0.012989,0.016023,0.18774287402629852,0.0004830691032111,0.0214090645313262
Q38836_Q9XED8,0.0024376,0.012961,0.015921,0.05402826890349388,0.9793750643730164,0.0046779620461165
Q680Q4_Q9LFD5,0.0022008,0.012936,0.015904,0.11406019330024719,0.0007168961456045,0.0009936719434335
Q9SQT5_Q0IGM7,0.0022593,0.012967,0.015898,0.005900537595152855,0.0003611893625929,0.0006405485910363
Q38826_Q8LAL2,0.0022444,0.01292,0.016516,0.11720352619886398,0.0207989085465669,0.0019370790105313
Q67XJ2_Q9FGP7,0.30104,0.95738,0.9151,0.022744936868548393,0.9979787468910216,0.8633497357368469
Q93ZH2_Q9SY97,0.0022488,0.013141,0.016694,0.020912282168865204,0.0008019254310056,0.0005751851131208
Q8W4F0_Q8GXJ4,0.0021846,0.01296,0.015934,0.3620152175426483,0.0003000451251864,0.0017588984919711
B4F7P5_Q38837,0.0029423,0.01297,0.016034,0.043501973152160645,0.0181378871202468,0.3029851913452148
Q39253_Q9SG79,0.002355,0.012977,0.016281,0.18279846012592316,0.0011129681952297,0.0008616043487563
Q9LYN2_Q6DBA5,0.00219,0.012973,0.01592,0.04410606250166893,0.0005601421580649,0.0002738203038461
Q9XF57_P42792,0.0024034,0.012979,0.015879,0.037455733865499496,0.0003699802327901,0.9640905857086182
Q9LP51_Q9LVU5,0.0022036,0.012974,0.015961,0.07114025950431824,0.0004367619694676,0.0063459533266723
