pair,D-SCRIPT,Topsy-Turvy,TT3D,TUnA,PLM-interact,PLMDA-PPI
C0HL67_Q9VM20,0.0022688,0.013003,0.01984,0.0023401312064379454,0.0003271857276558,0.0005641028983518
P16371_Q01070,0.0044801,0.013144,0.015922,0.045288003981113434,0.0124767618253827,0.001165316789411
P91929_Q9VM81,0.0022245,0.013514,0.016472,0.5944803357124329,0.0007489448762498,0.0213768407702446
Q9VYY9_Q9VF73,0.71709,0.73708,0.015978,0.3019194006919861,0.0066333133727312,0.0357161574065685
A1Z933_Q9VNB5,0.00218,0.012915,0.01587,0.42555153369903564,0.0003198768245056,0.0327270254492759
Q9VCV3_Q94545,0.002204,0.012986,0.02002,0.25329434871673584,0.0085180532187223,0.0389088913798332
A0A0B4LGV6_A1Z9I5,0.37878,0.41626,0.016009,0.28944161534309387,0.0057732160203158,0.0061909356154501
P34021_Q9VYW2,0.0022182,0.013038,0.016115,0.3506580889225006,0.0106001785025,0.0143551742658019
Q0E8K5_A1Z9I6,0.0022241,0.013029,0.015951,0.09911380708217621,0.0017171131912618,0.9876692891120912
Q8MS69_Q9NJG9,0.0022217,0.012915,0.016011,0.135788694024086,0.0005648001097142,0.7020022869110107
Q9VFE9_Q9VKF0,0.0023239,0.012995,0.015978,0.6094110608100891,0.0002981113211717,0.9861489534378052
Q9VVP8_Q9VQQ9,0.0023206,0.012929,0.015945,0.09778198599815369,0.0185766909271478,0.0064653302542865
Q8IMX1_Q9W2R4,0.0021763,0.013126,0.015997,0.04225914552807808,0.070606417953968,0.001732685486786
P42287_Q8MUJ1,0.0022499,0.013383,0.016613,0.044495802372694016,0.0024093424435704,0.0012241994263604
Q9VJY6_Q24570,0.0021915,0.012941,0.015884,0.09311160445213318,0.000423938705353,0.0004834516439586
O44226_Q8T0K1,0.0024656,0.013023,0.018018,0.2885228097438812,0.995862603187561,0.0016025198856368
P18289_P53034,0.0022273,0.013158,0.015899,0.057460885494947433,0.0002352167794015,0.002214673673734
Q24324_P42207,0.0023414,0.013005,0.016208,0.6287764310836792,0.0019601245876401,0.0046586063690483
Q9V345_Q59DZ4,0.0021844,0.013238,0.015902,0.13768847286701202,0.0004649697220884,0.0071504455991089
O97418_Q9V3V9,0.0022065,0.012919,0.015936,0.17024406790733337,0.008070652373135,0.0014605603646486
P55035_Q24139,0.0023017,0.012934,0.01593,0.43202459812164307,0.0004162373079452,0.155038982629776
Q9VS55_P35128,0.0021841,0.01297,0.015907,0.00867530144751072,0.0021771849133074,0.0055911820381879
Q9VB14_Q9XYU0,0.58832,0.012936,0.016404,0.028453625738620758,0.0006853443919681,0.0013286023167893
P16378_Q9VB22,0.0021981,0.014307,0.016198,0.05663197860121727,0.0044246269389986,0.5547246336936951
Q27884_Q9W0B3,0.0021716,0.012999,0.015985,0.20566411316394806,0.00074121018406,0.0039320383220911
Q9VVR2_P36179,0.0033031,0.013448,0.018525,0.10266256332397461,0.1039713695645332,0.0007122344686649
P52485_Q01070,0.0021781,0.013723,0.016236,0.09564772993326187,0.0003709104494191,0.0009673393215052
P46150_Q95TY2,0.0022993,0.013073,0.015929,0.057396434247493744,0.0027148651424795,0.0254717450588941
B7Z0R7_Q9XZ56,0.0024129,0.012964,0.015895,0.09642628580331802,0.00506183039397,0.1518168449401855
Q86BS3_Q2PE14,0.008242,0.01293,0.017198,0.07417959719896317,0.0020996280945837,0.0082428893074393
P02572_P15357,0.0027687,0.014383,0.016414,0.2624259889125824,0.000594894576352,0.0009490579832345
Q9VTZ7_A1Z6E0,0.0021959,0.012962,0.015952,0.15323249995708466,0.0114633319899439,0.982667863368988
Q9VX36_A1Z933,0.0021955,0.012997,0.015907,0.23663517832756042,0.0002846058341674,0.1105215772986412
Q9VHE3_Q9VWD5,0.0022526,0.013131,0.015919,0.12495587766170502,0.0086952373385429,0.0007342554745264
Q8I7C3_P34021,0.40598,0.013113,0.026825,0.5552295446395874,0.0158597417175769,0.0004031326679978
Q4V5L1_Q9VTC2,0.0029028,0.012962,0.015922,0.18962925672531128,0.9988672733306884,0.0002135272807208
P13677_O01382,0.002219,0.013048,0.021734,0.049128059297800064,0.0523624271154403,0.0151340700685977
