pair,D-SCRIPT,Topsy-Turvy,TT3D,TUnA,PLM-interact,PLMDA-PPI
P14222_Q9NZ63,0.0021904,0.012947,0.015908,0.16951991617679596,0.0002564053575042,0.0004197697271592
Q9H019_Q13425,0.064174,0.012967,0.01627,0.011466634459793568,0.000444131961558,0.0049593285657465
P05062_P05198,0.0021778,0.012938,0.015901,0.037717726081609726,0.0007331070373766,0.0038633432704955
Q9BYG3_Q8TDN1,0.0021992,0.012984,0.016046,0.0131587665528059,0.0003301168326288,0.0005534155061468
Q9P126_P35212,0.0022714,0.013204,0.027125,0.044556085020303726,0.0004373173578642,0.0054014865309
Q8IYU8_Q92552,0.002175,0.014267,0.75303,0.09669723361730576,0.000748474674765,0.0048718331381678
P43686_Q96NL6,0.68197,0.10932,0.015974,0.13731864094734192,0.0138366660103201,0.1710769534111023
Q96RP9_O15269,0.0021958,0.013405,0.016244,0.12389504164457321,0.0004255416279193,0.0404474250972271
Q6ZQR2_Q6IPM2,0.0021953,0.013067,0.015925,0.07964791357517242,0.0074273464269936,0.0025853747501969
Q6P9F7_Q8WW35,0.0021853,0.01292,0.015888,0.01709343120455742,0.0002512330247554,0.0014685100177302
Q9UFW8_P40426,0.0022001,0.012934,0.015915,0.014575310051441193,0.0135348988696932,0.0042939512059092
P02763_Q9NX07,0.0021908,0.01309,0.015893,0.16761308908462524,0.0004416038573253,0.0008587438496761
Q92949_Q7L2Z9,0.0022171,0.012967,0.015909,0.7076559662818909,0.0049918903969228,0.0007857225136831
Q86UA1_P14174,0.0021968,0.013005,0.015945,0.1043410375714302,0.0015302792889997,0.0048498855903744
O15066_Q6IA86,0.0024234,0.015674,0.021025,0.32373788952827454,0.0031398616265505,0.0008267664234153
Q6GMV2_P21673,0.0021662,0.012935,0.015912,0.00636134622618556,0.0119653195142745,0.0063417148776352
Q8N8V4_Q9BVC3,0.0021881,0.012965,0.01596,0.1107524186372757,0.0037726003210991,0.0006654193857684
O15127_P00751,0.0022196,0.013009,0.015926,0.032204508781433105,0.0004167395527474,0.000191494662431
P02545_P20700,0.86214,0.78729,0.79686,0.0035731089301407337,0.9989460110664368,0.0004618994425982
Q8IUX4_P20382,0.0021984,0.012976,0.015935,0.00190671905875206,0.070727601647377,0.0088520133867859
P21941_P0CG48,0.0023737,0.01442,0.015991,0.11936797201633453,0.0010363206965848,0.0030020587146282
O95208_P04075,0.0021769,0.013051,0.015887,0.07223889231681824,0.0002974279923364,0.000783639261499
P09972_Q8IXQ6,0.0021828,0.012956,0.015923,0.0935102105140686,0.000771033053752,0.0002592598029877
P20273_Q9BRA0,0.0021962,0.013111,0.016538,0.06733382493257523,0.0006207387777976,0.0189212448894977
P60059_O15482,0.0027721,0.012972,0.015878,0.004776575602591038,0.0004228924808558,0.0004459289775695
P60412_O95219,0.002178,0.012974,0.01587,0.06523165851831436,0.0011696433648467,0.0008627618663012
P49643_O95471,0.0022064,0.012921,0.015886,0.20651353895664215,0.0002500961127225,0.0008159349672496
Q9GZU1_Q6NW34,0.0021965,0.012942,0.016047,0.004228777717798948,0.0063489763997495,0.0016840789467096
O43679_Q6IA86,0.0023102,0.013003,0.01677,0.04225913807749748,0.0117237316444516,0.0008370114373974
Q9Y512_B2RNN3,0.0022847,0.01308,0.016036,0.06907833367586136,0.0003971589612774,0.0002766042598523
P35232_P21673,0.0021848,0.012923,0.015917,0.0008020832319743931,0.0002429811283946,0.0006507197977043
Q9HC97_P53701,0.0023277,0.012975,0.015925,0.05762600153684616,0.0003349277249071,0.0021854389924556
Q8WVC0_P69892,0.0021687,0.013069,0.015875,0.022333690896630287,0.0004054456367157,0.0004085524415131
P04141_Q9BSV6,0.0022074,0.013015,0.015963,0.027509067207574844,0.0003000777505803,0.0051189716905355
Q9Y255_Q9BZF1,0.0021819,0.012922,0.0159,0.2699228823184967,0.0029079942032694,0.0229429043829441
Q8WX77_Q8IZK6,0.0022051,0.014429,0.038402,0.04161061346530914,0.0007758555584587,0.0094606345519423
P55795_Q16281,0.0021964,0.012994,0.016022,0.2896461486816406,0.0019623916596174,0.0232215337455272
P27348_P36507,0.0022069,0.014218,0.37151,0.10895244777202606,0.0086431195959448,0.0015024623135104
P04921_Q14213,0.0023694,0.017638,0.063096,0.5057111382484436,0.0021353340707719,0.0098224515095353
P30626_P40763,0.0021823,0.013059,0.015916,0.15317007899284363,0.0004938306519761,0.044012401252985
P20851_Q6UW01,0.0022216,0.055459,0.059921,0.04288511723279953,0.0035105405841022,0.0091035449877381
Q86SQ9_P50876,0.0021808,0.01304,0.01711,0.02197190560400486,0.0002757253823801,0.1264367848634719
P59666_Q9Y3L5,0.0022973,0.013579,0.016002,0.01909279078245163,0.0003978262539021,0.0027927123010158
Q9NVU0_Q13061,0.0021963,0.012925,0.016245,0.009548921138048172,0.0006214490858837,0.0011219477746635
Q9BRT8_Q8WZ73,0.0021799,0.012974,0.016239,0.06774147599935532,0.0002648717199917,0.0066705080680549
Q16281_P31146,0.002717,0.014522,0.016027,0.0052545699290931225,0.0036829190794378,0.0022648908197879
O60256_P61218,0.0022112,0.012986,0.015946,0.10185685008764267,0.0009168240940198,0.0100985243916511
O95415_O15205,0.0022015,0.012956,0.015941,0.024263223633170128,0.000431813794421,0.0010334216058254
Q96EB1_Q8N112,0.002213,0.013172,0.017637,0.004332536365836859,0.0003834365634247,0.2745718359947204
P0DPB5_P30740,0.0022195,0.012936,0.015924,0.26335564255714417,0.0002349437854718,0.011838587000966
Q8TE02_Q96LZ3,0.0021715,0.013088,0.015934,0.02030610851943493,0.0002393025788478,0.003525678999722
