pair,D-SCRIPT,Topsy-Turvy,TT3D,TUnA,PLM-interact,PLMDA-PPI
Q8C031_Q8CFA1,0.0023721,0.012975,0.016148,0.4966021180152893,0.0034342112485319,0.3078943192958832
Q8BLC3_P39428,0.0022118,0.012979,0.016164,0.24360935389995575,0.0020901600364595,0.2767670452594757
Q61160_P27038,0.0021808,0.012936,0.015985,0.07303661108016968,0.0054934099316596,0.0003644708776846
O88634_P13504,0.0022707,0.018483,0.29076,0.0639791265130043,0.0082129621878266,0.2012585252523422
Q9D2R8_Q9ERA0,0.0021816,0.012918,0.015878,0.054960012435913086,0.0015520304441452,0.906199872493744
Q9JIH2_Q9CWY8,0.0021842,0.012965,0.015955,0.012653613463044167,0.0004608452436514,0.403857946395874
P58801_Q99ML1,0.0027399,0.013274,0.017552,0.009122015908360481,0.0058243535459041,0.0018418473191559
P09021_P18181,0.0021889,0.013455,0.015913,0.29024186730384827,0.0003212132432963,0.0005843106773681
P06332_P08046,0.0021865,0.013237,0.016151,0.015763869509100914,0.0017811431316658,0.0226801298558712
Q3UYI6_Q9WU38,0.0022128,0.012976,0.022384,0.4273812174797058,0.0003809047921095,0.3395366072654724
Q3ULA2_Q9CQT6,0.0022586,0.012962,0.016399,0.1663467437028885,0.0016017131274566,0.2241747230291366
P51410_P47713,0.0022049,0.012927,0.015894,0.20773853361606598,0.0002445867867209,0.0001747883216012
Q8BFU0_Q91VD9,0.0022027,0.012946,0.015937,0.015005704015493393,0.0002384048275416,0.0008225564379245
P11440_P43275,0.0022079,0.012949,0.016016,0.12331731617450714,0.0003989083634223,0.0001412283600075
Q99M51_P48787,0.0021979,0.01296,0.015966,0.21248368918895721,0.0010830489918589,0.0026066901627928
P07356_P70191,0.0021773,0.013002,0.015888,0.3334527015686035,0.0025301626883447,0.0024780840612947
Q61234_P62301,0.002175,0.012931,0.015893,0.10717522352933884,0.0004674815572798,0.000254144280916
