pair,D-SCRIPT,Topsy-Turvy,TT3D,TUnA,PLM-interact,PLMDA-PPI
Q9UTI8_Q9US45,0.0021984,0.01292,0.015977,0.5541814565658569,0.0034006498754024,0.7655247449874878
Q09882_O94603,0.0024482,0.012932,0.016528,0.5856658816337585,0.0005061746924184,0.7079745531082153
Q09882_Q9USX3,0.0028489,0.01292,0.016496,0.1360791027545929,0.0225210916250944,0.9190348982810974
Q9UT52_P87245,0.090182,0.013126,0.016109,0.3565352261066437,0.9982571005821228,0.2180912047624588
O74531_Q9Y709,0.0021677,0.012942,0.015892,0.21235840022563934,0.0068320035934448,0.0013288168702274
P13681_P87027,0.0062206,0.02378,0.023322,0.7535737156867981,0.003365368116647,0.00038664296153
Q9UUB5_O74465,0.0022657,0.012927,0.01606,0.01941467635333538,0.0059202974662184,0.0002307032700628
O13681_P48011,0.0023316,0.013014,0.021835,0.04518280550837517,0.0033370894379913,0.9896636605262756
Q9UUJ1_Q1MTQ1,0.0022344,0.013483,0.016095,0.22121593356132507,0.0034164928365498,0.0020913162734359
O42991_P52890,0.0021762,0.012952,0.015931,0.2998894453048706,0.0003374641237314,0.0064569585956633
P29458_Q12701,0.030974,0.013036,0.023497,0.3037094473838806,0.0012872208608314,0.0207590721547603
Q12701_P10506,0.0046157,0.019234,0.31544,0.22904612123966217,0.9984717965126038,0.3508784174919128
Q09825_O74825,0.0022126,0.012922,0.015894,0.20455779135227203,0.0003760326653718,0.0105109987780451
Q9URY0_O94705,0.0022408,0.012953,0.015879,0.4383431077003479,0.0002973636437673,0.0143489148467779
O74499_O14010,0.0021932,0.012945,0.015894,0.8434730768203735,0.0010805509518831,0.9789851903915404
P05219_Q9USZ3,0.00219,0.013013,0.015879,0.3184792697429657,0.0003213593154214,0.2019219100475311
Q9Y7R3_O94326,0.031799,0.012915,0.019042,0.5225096344947815,0.99619460105896,0.988904058933258
P17937_Q92352,0.0021855,0.012941,0.015921,0.7920987606048584,0.0073349932208657,0.4517048895359039
P07527_P87323,0.88686,0.01299,0.021398,0.0773438811302185,0.07443568110466,0.0012929929653182
P04551_O94244,0.0022194,0.013815,0.019673,0.27456316351890564,0.0007049287087284,0.0003656220505945
O94238_P87245,0.0021993,0.013086,0.015904,0.23217183351516724,0.0006129391840659,0.9913771152496338
P40377_O13782,0.0021865,0.013253,0.015936,0.13073515892028809,0.0013457752065733,0.0004758407303597
Q09196_Q10366,0.0021726,0.013086,0.015889,0.029167046770453453,0.003889036597684,0.0007124853436835
P32372_Q9P7R9,0.0021897,0.013428,0.016617,0.18670053780078888,0.0419511124491691,0.0040034991689026
O42991_P56286,0.0022431,0.012942,0.015967,0.7686232924461365,0.9987125396728516,0.4730043411254883
P32390_P33520,0.0021971,0.013314,0.015934,0.08341071009635925,0.0470414236187934,0.029925912618637
P87173_Q9USG6,0.0021796,0.012975,0.015895,0.1422719806432724,0.0003778986574616,0.1000905558466911
P10815_P78972,0.70245,0.013084,0.027682,0.03831406682729721,0.0383168011903762,0.0220775473862886
Q9UTA4_P40235,0.0022307,0.01294,0.016113,0.07638567686080933,0.0933509171009063,0.0103990407660603
P0CU09_Q9P7J8,0.0023005,0.012959,0.016195,0.0766313299536705,0.0003442614106461,0.9822876453399658
Q9Y7Z1_P32390,0.0022831,0.01305,0.090185,0.09503643959760666,0.0009984618518501,0.0015724209370091
O14318_O14399,0.0022006,0.012966,0.015875,0.5793028473854065,0.0012684054672718,0.005857000593096
P40996_P50527,0.14913,0.012986,0.023325,0.10255437344312668,0.0479108057916164,0.2089186310768127
Q7LL14_C6Y4D0,0.0024449,0.013223,0.019764,0.07600892335176468,0.0005614188266918,0.0016872140113264
Q96WW3_Q9UTR8,0.0023183,0.012931,0.022393,0.24914610385894775,0.9980667233467102,0.0044957837089896
P09322_O42667,0.0021857,0.013064,0.016291,0.12548643350601196,0.0009920619195327,0.8886592984199524
O94360_O43080,0.0021907,0.012924,0.015906,0.7867807149887085,0.0003116495790891,0.0017750831320881
O42991_Q9US59,0.002215,0.012957,0.015935,0.00815220270305872,0.0003674024774227,0.0008816229528747
O94707_O60164,0.0053393,0.012916,0.017106,0.19745634496212006,0.067048966884613,0.6673202514648438
Q10366_O94244,0.0022162,0.013212,0.021189,0.07660587877035141,0.0005559373530559,0.0019947600085288
P49731_Q09761,0.0024918,0.01297,0.016049,0.5372229814529419,0.0154877621680498,0.989773452281952
O94658_O94620,0.0021957,0.012941,0.015993,0.3884981870651245,0.0016783574828878,0.7237255573272705
A6X980_O42978,0.0021814,0.013257,0.015863,0.20389245450496674,0.0005332237924449,0.0526572465896606
P40380_O74398,0.55843,0.013055,0.021344,0.03364589437842369,0.0107509884983301,0.1382828950881958
O60104_Q10429,0.0024373,0.01317,0.016305,0.13182640075683594,0.0003616541798692,0.0029079830273985
O42975_Q10429,0.014414,0.013311,0.048235,0.16073612868785858,0.9988773465156556,0.0487987250089645
P40381_P06652,0.0023038,0.013176,0.019702,0.3530360758304596,0.9986955523490906,0.0443416982889175
O43071_Q9P6M0,0.0086616,0.012987,0.048094,0.13452333211898804,0.0544576533138752,0.0244121514260768
O14246_P87238,0.0022708,0.012927,0.015972,0.07511693239212036,0.0015898514539003,0.0005394804175011
P41411_O94288,0.0033085,0.013363,0.017107,0.050044357776641846,0.009307756088674,0.3745047748088836
Q10428_P46595,0.0021757,0.013227,0.015896,0.6175678968429565,0.0007479093037545,0.0051914020441472
O13828_O14098,0.009782,0.013018,0.017,0.7499756217002869,0.0103028239682316,0.9693697690963744
