pair,D-SCRIPT,Topsy-Turvy,TT3D,TUnA,PLM-interact,PLMDA-PPI
2ES4(3):B_1OFH(1):G,0.012959,0.0021811,0.015931,0.09532347321510315,0.0002781187067739,0.000244256312726
2YC4(1):B_6HPB(1):A,0.012929,0.0022424,0.015892,0.03672270476818085,0.0003726261202245,0.0003559413016773
6X0A(15):O_2HZS(5):H,0.012944,0.0021886,0.015935,0.09073029458522797,0.0002290661941515,0.0003524727362673
7VD7(1):A_7VD7(1):B,0.013091,0.0023692,0.015987,0.004642848391085863,0.622973620891571,0.0006476484704762
1TY4(1):B_1TY4(1):D,0.013693,0.024327,0.033693,0.057023949921131134,0.9988870024681092,0.5314525365829468
5WRV(1):A_6B12(2):B,0.012988,0.0021955,0.015925,0.12538230419158936,0.0034783626906573,0.0004443079524207
6U3W(1):B_2PTT(1):A,0.013179,0.0022022,0.015978,0.19793947041034698,0.0002791276201605,0.0004745244223158
3A5Z(1):C_3A5Z(1):D,0.013064,0.0045975,0.016103,0.019175801426172256,0.998333752155304,0.1498045921325683
7MWR(1):A_7MWR(1):B,0.038743,0.0036105,0.016095,0.04367988556623459,0.9944039583206176,0.9430097341537476
3GQI(1):B_2Y3N(1):C,0.012971,0.002186,0.015993,0.07421662658452988,0.0002793853345792,0.0002195730485254
6KPD(1):B_6RCX(1):B,0.013034,0.0022142,0.015973,0.008759971708059311,0.0003107372904196,0.0001525801053503
6TUN(2):B_7MWR(1):B,0.012962,0.0022651,0.015929,0.15720409154891968,0.0007112184539437,0.0025260960683226
3AMJ(1):B_3AMJ(1):A,0.51935,0.59018,0.56638,0.1021619513630867,0.8192786574363708,0.973929524421692
5CFF(1):A_4CC4(3):E,0.012987,0.0022229,0.016223,0.0733078271150589,0.0040787076577544,0.0005807027337141
3M6M(1):E_3AV0(1):A,0.013098,0.0022758,0.016016,0.3297309875488281,0.0002356677578063,0.0002930055488832
6TPI(1):C_6U08(2):C,0.012936,0.0022703,0.015916,0.018746083602309227,0.0057060914114117,0.055131945759058
3LKX(1):A_6YJP(1):C,0.01302,0.0021903,0.015886,0.11248273402452469,0.0004663089930545,0.000154987690621
5OW5(1):B_2J9U(1):A,0.050374,0.0022766,0.020902,0.08202767372131348,0.0024467364419251,0.0368153639137744
6XZ6(1):A_5CTR(1):C,0.012935,0.0021724,0.015898,0.027092691510915756,0.0038228270132094,0.0110149104148149
5YXY(1):D_3F1I(1):S,0.013004,0.0022429,0.015887,0.015025894157588482,0.0002162535383831,0.0002222649782197
2IYB(2):B_2IYB(2):F,0.013025,0.0021925,0.016621,0.03365381062030792,0.0056546055711805,0.0013613306218758
6LBU(1):A_5Y9W(1):B,0.01292,0.0021766,0.015887,0.09057251363992691,0.0003329821047373,0.0002867717703338
2J9U(1):B_4CYJ(2):F,0.013302,0.0021602,0.015885,0.2036331295967102,0.0005383906536735,0.0013759545981884
3EXE(2):E_3EXE(2):H,0.016508,0.11091,0.5504,0.1213497593998909,0.999019980430603,0.0081701939925551
5HY3(1):A_2Y3N(1):D,0.012953,0.0021909,0.015892,0.01714634709060192,0.0007226024754345,0.006554293911904
6IB8(1):A_6B12(2):D,0.012981,0.0021757,0.015922,0.4305232763290405,0.0004757762944791,0.0009618129115551
3TND(1):A_1N2D(1):A,0.013039,0.0021766,0.015893,0.0689404085278511,0.0002385414700256,0.0004301476292312
6AKM(1):B_4Y66(2):D,0.031863,0.0048511,0.016548,0.08604320883750916,0.0008975963573902,0.0029876970220357
4ZK7(1):W_2BUY(1):A,0.013003,0.0022197,0.016057,0.006573210470378399,0.0004200881812721,0.0003953633131459
6R3S(1):B_5IBW(1):C,0.013169,0.0022874,0.015939,0.00605681911110878,0.0002755414461717,0.0071356436237692
3TND(1):A_3TND(1):B,0.013011,0.0021957,0.01643,0.03353334963321686,0.9987433552742004,0.9602578282356262
5MPO(1):B_7V5Z(1):B,0.012947,0.0021882,0.015966,0.06452853977680206,0.0023162078578025,0.0004215821099933
6COJ(1):B_5ZB2(1):B,0.012938,0.0022129,0.015927,0.17521661520004272,0.0002925221051555,0.0001539233198855
4DGW(1):A_4BFI(1):B,0.012976,0.0021816,0.015888,0.06086791679263115,0.0004891574499197,0.000207909848541
6LBT(1):C_3M6M(1):B,0.012951,0.0021829,0.015891,0.3897789418697357,0.0007098032510839,0.0010843203635886
5MU7(1):A_5NUP(1):A,0.013014,0.0021774,0.01588,0.014730737544596195,0.0003290224994998,0.0003479845181573
7ENH(1):A_3PUF(3):I,0.01292,0.0021784,0.015868,0.13230296969413757,0.0006338874227367,0.0021877672988921
